video_id,source_url,direct_url,media_ok,duration_sec,category,knowledge_point,question,choice_A,choice_B,choice_C,choice_D,answer,dynamic_evidence,static_insufficient_reason,video_available,dynamic_process_visible,knowledge_point_supported,answer_only_leakage,single_frame_sufficient,sparse_frames_sufficient,title_or_subtitle_leakage,review_decision,reviewer_notes
dynaknow_000001,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,https://upload.wikimedia.org/wikipedia/commons/3/35/Quick_Pool_Break.webm,,5.9,physics_mechanics,Collisions transfer momentum between objects.,Which knowledge point is best demonstrated by the dynamic process in the video?,Collisions transfer momentum between objects.,Objects sliding on rough surfaces slow down due to friction.,A pendulum exchanges gravitational potential energy and kinetic energy.,Magnetic fields can align or attract ferromagnetic materials.,A,0.0-5.9: The cue ball strikes the rack and multiple balls change speed and direction after contact.,A still frame can show billiard balls but cannot show contact-driven changes in their motion.,,,,,,,,,
dynaknow_000002,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,https://upload.wikimedia.org/wikipedia/commons/5/55/Bimetal_coil_reacts_to_lighter.ogv,,33.0,chemistry_material_change,Materials can expand unevenly when heated.,Which knowledge point is best demonstrated by the dynamic process in the video?,Materials can expand unevenly when heated.,A solid can absorb heat and melt into a liquid.,Elastic materials restore shape after deformation.,Warm air rises and can drive convection.,A,0.0-33.0: The bimetal coil bends and changes shape after heat is applied by the lighter.,A single frame can show the coil shape but cannot establish heat-triggered bending over time.,,,,,,,,,
dynaknow_000003,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,https://upload.wikimedia.org/wikipedia/commons/1/1b/Iodine_clock_-_persulphate.ogv,,6.0,chemistry_material_change,Some chemical reactions produce color change.,Which knowledge point is best demonstrated by the dynamic process in the video?,Some chemical reactions produce color change.,Some reactions form a precipitate.,Dissolved substances diffuse from high to low concentration.,A liquid can evaporate when heated or exposed to airflow.,A,0.0-6.0: The liquid abruptly changes color after the reaction progresses for several seconds.,A single frame can show the initial or final color but cannot show that the color changed during the reaction.,,,,,,,,,
dynaknow_000004,https://commons.wikimedia.org/wiki/File:Melting_Ice_time_lapse.webm,https://upload.wikimedia.org/wikipedia/commons/7/75/Melting_Ice_time_lapse.webm,,8.7,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A solid can absorb heat and melt into a liquid.,A liquid can evaporate when heated or exposed to airflow.,Cooling can cause liquid to solidify.,Solvent evaporation can leave crystals behind.,A,0.0-8.7: The ice decreases in size and liquid water appears around it during the time lapse.,A still frame of ice or water cannot establish the direction from solid to liquid over time.,,,,,,,,,
dynaknow_000005,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,https://upload.wikimedia.org/wikipedia/commons/a/aa/Phototropism_in_Solanum_lycopersicum.webm,,18.0,biology_life_processes,Plant shoots can grow toward a light source.,Which knowledge point is best demonstrated by the dynamic process in the video?,Plant shoots can grow toward a light source.,Roots can grow downward in response to gravity.,Water can move through narrow plant structures by capillary action.,Leaves can lose water vapor through stomata.,A,0.0-18.0: The plant shoot bends progressively toward one side during the time lapse.,A single frame may show a bent plant but cannot show that the bend developed directionally over time.,,,,,,,,,
dynaknow_000006,https://commons.wikimedia.org/wiki/File:Sabzeh_sprouting_seeds_timelapse.webm,https://upload.wikimedia.org/wikipedia/commons/c/cc/Sabzeh_sprouting_seeds_timelapse.webm,,112.0,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Seed germination involves root and shoot emergence.,Plant shoots can grow toward a light source.,Roots can grow downward in response to gravity.,Some organisms move toward or away from light.,A,0.0-60.0: Seeds progressively sprout and visible plant structures emerge over the time lapse.,A still frame can show seeds or sprouts but cannot show emergence as a developmental process.,,,,,,,,,
dynaknow_000007,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,https://upload.wikimedia.org/wikipedia/commons/2/28/Capillary_breakup.webm,,9.4,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support or reshape small liquid structures.,Pressure differences can move fluids.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,A,0.0-9.4: A liquid filament changes shape and breaks into droplets over time.,A single frame can show droplets but cannot show the breakup process that reveals surface-tension-driven reshaping.,,,,,,,,,
dynaknow_000008,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,https://upload.wikimedia.org/wikipedia/commons/c/cd/Water_candle_experiment.webm,,17.0,everyday_causal_mechanisms,Pressure differences can move fluids.,Which knowledge point is best demonstrated by the dynamic process in the video?,Pressure differences can move fluids.,Surface tension can support or reshape small liquid structures.,Capillary action can pull liquid through narrow gaps.,Dissolved substances diffuse from high to low concentration.,A,0.0-17.0: Water rises into the covered space after the candle changes the air conditions inside.,A still frame can show the apparatus but cannot show the water rising as a response over time.,,,,,,,,,
dynaknow_000009,https://commons.wikimedia.org/wiki/File:Vacuum_pump_filter_pour_sample_and_turn_on.webm,https://upload.wikimedia.org/wikipedia/commons/3/3f/Vacuum_pump_filter_pour_sample_and_turn_on.webm,,55.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Which knowledge point is best demonstrated by the dynamic process in the video?,Filtering separates solids from liquids by particle size.,Settling separates materials by density over time.,Layering fluids can demonstrate density differences.,Stirring while adding powder improves dispersion.,A,0.0-55.0: The sample is poured into the filter and liquid passes through while material is retained.,A single frame can show the filter setup but cannot show separation occurring through the process.,,,,,,,,,
dynaknow_000010,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,https://upload.wikimedia.org/wikipedia/commons/2/26/ElasticPendulum.webm,,17.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Collisions transfer momentum between objects.,Objects sliding on rough surfaces slow down due to friction.,Buoyancy depends on displaced fluid and object density.,A,0.0-17.0: The mass repeatedly changes height and speed while swinging through its path.,A single frame can show the pendulum position but cannot show the repeated exchange between height and motion.,,,,,,,,,
dynaknow_000011,https://commons.wikimedia.org/wiki/File:Timelapse-crystal.ogv,https://upload.wikimedia.org/wikipedia/commons/c/c7/Timelapse-crystal.ogv,,17.1,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A solid can absorb heat and melt into a liquid.,A liquid can evaporate when heated or exposed to airflow.,Cooling can cause liquid to solidify.,A gas can condense into liquid droplets on a cold surface.,A,0.0-17.1: Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000012,https://commons.wikimedia.org/wiki/File:Time-Lapse.ogv,https://upload.wikimedia.org/wikipedia/commons/c/ca/Time-Lapse.ogv,,26.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A liquid can evaporate when heated or exposed to airflow.,A solid can absorb heat and melt into a liquid.,Cooling can cause liquid to solidify.,A gas can condense into liquid droplets on a cold surface.,B,0.0-26.0: Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000013,https://commons.wikimedia.org/wiki/File:Satellite_measurements_of_Greenland%27s_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,https://upload.wikimedia.org/wikipedia/commons/f/f7/Satellite_measurements_of_Greenland's_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,,33.4,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A liquid can evaporate when heated or exposed to airflow.,Cooling can cause liquid to solidify.,A solid can absorb heat and melt into a liquid.,A gas can condense into liquid droplets on a cold surface.,C,0.0-30.0: Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000014,https://commons.wikimedia.org/wiki/File:Backwashing_demo_at_a_water_filtration_plant.webm,https://upload.wikimedia.org/wikipedia/commons/7/7a/Backwashing_demo_at_a_water_filtration_plant.webm,,45.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Which knowledge point is best demonstrated by the dynamic process in the video?,Settling separates materials by density over time.,Layering fluids can demonstrate density differences.,Some reactions form a precipitate.,Filtering separates solids from liquids by particle size.,D,0.0-45.0: Backwashing shows particles and water moving through filter media over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000015,https://commons.wikimedia.org/wiki/File:Filtration_Video_at_Leadville_NFH_(4857132923).webm,https://upload.wikimedia.org/wikipedia/commons/b/b5/Filtration_Video_at_Leadville_NFH_(4857132923).webm,,39.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Which knowledge point is best demonstrated by the dynamic process in the video?,Filtering separates solids from liquids by particle size.,Settling separates materials by density over time.,Layering fluids can demonstrate density differences.,Some reactions form a precipitate.,A,0.0-39.0: Water filtration is shown as a process rather than static equipment.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000016,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,https://upload.wikimedia.org/wikipedia/commons/e/e7/Slow_motion_drop.webm,,38.0,physics_mechanics,Unsupported objects accelerate downward under gravity.,Which knowledge point is best demonstrated by the dynamic process in the video?,Objects sliding on rough surfaces slow down due to friction.,Unsupported objects accelerate downward under gravity.,A deformed elastic object returns to its original shape.,Magnetic fields can align ferromagnetic particles.,B,0.0-12.0: A water drop falls and impacts liquid over time rather than being statically suspended.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000017,https://commons.wikimedia.org/wiki/File:Torsion-pendulum.ogv,https://upload.wikimedia.org/wikipedia/commons/6/66/Torsion-pendulum.ogv,,13.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,A pendulum exchanges gravitational potential energy and kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,C,0.0-13.0: Oscillatory motion requires seeing repeated position changes over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000018,https://commons.wikimedia.org/wiki/File:Candle_and_Match.ogv,https://upload.wikimedia.org/wikipedia/commons/6/6c/Candle_and_Match.ogv,,25.0,chemistry_material_change,Combustion requires fuel and oxygen.,Which knowledge point is best demonstrated by the dynamic process in the video?,Some mixtures produce gas during chemical reactions.,A liquid can evaporate when heated or exposed to airflow.,Warm air rises and can drive convection.,Combustion requires fuel and oxygen.,D,0.0-25.0: The match ignites the candle and the flame persists over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
