category,initial_category,candidate_knowledge_point,default_start_sec,default_end_sec,notes
Category:Videos of billiards,physics_mechanics,Collisions transfer momentum between objects.,0,30,Collision candidates; title usually gives object but not mechanism.
Category:Videos of snooker,physics_mechanics,Collisions transfer momentum between objects.,0,30,Cue-ball collisions can support momentum transfer if contact and motion changes are visible.
Category:High-speed videos,physics_mechanics,Unsupported objects accelerate downward under gravity.,0,30,Potential falling or impact clips; filter out specialist/animation content.
Category:Videos of water drops,physics_mechanics,Unsupported objects accelerate downward under gravity.,0,30,Drop motion can support falling-object knowledge if single frame is insufficient.
Category:Slow motion videos of water drops,physics_mechanics,Unsupported objects accelerate downward under gravity.,0,30,High-speed drop clips are useful if title does not state the target mechanism.
Category:Bimetallic strips,chemistry_material_change,Materials can expand unevenly when heated.,0,45,Thermal bending candidates; title may mention bimetal but mechanism still dynamic.
Category:Iodine clock reaction,chemistry_material_change,Some chemical reactions produce color change.,0,45,Visual color transition; title leaks reaction name but not necessarily generic knowledge point.
Category:Videos of chemical reactions,chemistry_material_change,Some chemical reactions produce color change.,0,45,Broad category; candidate filter should reject animation/specialist titles.
Category:Videos of buoyancy,physics_mechanics,Buoyancy depends on displaced fluid and object density.,0,45,Look for float/sink transitions or object orientation changes in water.
Category:Videos of floating and sinking,physics_mechanics,Buoyancy depends on displaced fluid and object density.,0,45,Potential float/sink demonstrations; verify visible transition over time.
Category:Videos of convection,everyday_causal_mechanisms,Warm air rises and can drive convection.,0,45,Potential smoke/flame/fluid-flow clips; reject if only static flame.
Category:Videos of sound,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,0,45,Potential vibration demonstrations; avoid performances where mechanism is not visible.
