knowledge_id,category,knowledge_point,search_queries,hard_negative_pool,notes
kp_phy_001,physics_mechanics,Unsupported objects accelerate downward under gravity.,"falling object slow motion physics demo|object dropped from height gravity demonstration|apple falling gravity video","Objects sliding on rough surfaces slow down due to friction.;A deformed elastic object returns to its original shape.;Magnetic fields can align ferromagnetic particles.",Use videos where motion direction is visible over time.
kp_phy_002,physics_mechanics,Objects sliding on rough surfaces slow down due to friction.,"friction slows sliding block demonstration|block sliding on rough surface friction video|friction experiment sliding object","Unsupported objects accelerate downward under gravity.;Collisions transfer momentum between objects.;A pendulum exchanges gravitational potential energy and kinetic energy.",Avoid static diagrams of friction.
kp_phy_003,physics_mechanics,Collisions transfer momentum between objects.,"cart collision momentum transfer demo|billiard balls momentum transfer video|collision physics demonstration carts","Non-elastic collisions dissipate kinetic energy.;Objects sliding on rough surfaces slow down due to friction.;A spinning object can maintain angular momentum.",Prefer visible before/after object motion.
kp_phy_004,physics_mechanics,Non-elastic collisions dissipate kinetic energy.,"inelastic collision carts stick together demo|clay ball collision inelastic video|inelastic collision physics demonstration","Collisions transfer momentum between objects.;Elastic materials restore shape after deformation.;Air resistance slows moving objects.",Need contrast between motion before and after collision.
kp_phy_005,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,"pendulum energy transfer demonstration video|pendulum swing potential kinetic energy|simple pendulum physics demo","Unsupported objects accelerate downward under gravity.;A spinning object can maintain angular momentum.;Objects sliding on rough surfaces slow down due to friction.",Avoid videos where narration states answer directly.
kp_phy_006,physics_mechanics,Buoyancy depends on displaced fluid and object density.,"floating sinking density buoyancy demo video|buoyancy experiment object sinks floats|density buoyancy demonstration","Pressure differences can move fluids.;Surface tension can support small objects or droplets.;Capillary action can pull liquid through narrow gaps.",Dynamic evidence should show float/sink transition.
kp_phy_007,physics_mechanics,Air resistance slows moving objects.,"air resistance falling paper coin demo|parachute air resistance demonstration|feather hammer air resistance video","Unsupported objects accelerate downward under gravity.;Objects sliding on rough surfaces slow down due to friction.;A solid can absorb heat and melt into a liquid.",Prefer paired objects falling differently.
kp_phy_008,physics_mechanics,An object on an inclined plane accelerates along the slope.,"inclined plane rolling ball acceleration demo|cart on ramp physics video|object sliding down inclined plane","Unsupported objects accelerate downward under gravity.;Objects sliding on rough surfaces slow down due to friction.;Collisions transfer momentum between objects.",Need clear slope and temporal motion.
kp_phy_009,physics_mechanics,Elastic materials restore shape after deformation.,"elastic deformation restoration demo video|spring returns to shape physics demo|rubber band elastic force demonstration","Non-elastic collisions dissipate kinetic energy.;A solid can absorb heat and melt into a liquid.;Porous materials absorb liquid through internal spaces.",Avoid static final state only.
kp_phy_010,physics_mechanics,A spinning object can maintain angular momentum.,"gyroscope angular momentum demonstration video|spinning wheel angular momentum demo|spinning top angular momentum video","A pendulum exchanges gravitational potential energy and kinetic energy.;Collisions transfer momentum between objects.;Magnetic fields can align ferromagnetic particles.",Need sustained spinning or axis behavior.
