video_id,category,knowledge_point,answer,source_title,source_url,prior_review_decision,knowledge_point_seen_rank,risk_score,risk_flags,recommendation,notes
dynaknow_000001,physics_mechanics,Collisions transfer momentum between objects.,A,Quick Pool Break.webm,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,accept_dynamic_seed,1,-10,previously_accepted,keep_accepted,Already accepted in shortcut review.
dynaknow_000002,chemistry_material_change,Materials can expand unevenly when heated.,A,Bimetal coil reacts to lighter.ogv,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,accept_dynamic_seed,1,-10,previously_accepted,keep_accepted,Already accepted in shortcut review.
dynaknow_000003,chemistry_material_change,Some chemical reactions produce color change.,A,Iodine clock - persulphate.ogv,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,accept_dynamic_seed,1,-10,previously_accepted,keep_accepted,Already accepted in shortcut review.
dynaknow_000007,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,A,Capillary breakup.webm,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,accept_dynamic_seed,1,-10,previously_accepted,keep_accepted,Already accepted in shortcut review.
dynaknow_000010,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,ElasticPendulum.webm,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,accept_dynamic_seed,1,-10,previously_accepted,keep_accepted,Already accepted in shortcut review.
dynaknow_000016,physics_mechanics,Unsupported objects accelerate downward under gravity.,B,Slow motion drop.webm,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,accept_dynamic_seed,1,-10,previously_accepted,keep_accepted,Already accepted in shortcut review.
dynaknow_000018,chemistry_material_change,Combustion requires fuel and oxygen.,D,Candle and Match.ogv,https://commons.wikimedia.org/wiki/File:Candle_and_Match.ogv,,1,0,,priority_review,
dynaknow_000039,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,A,Corona.Candle.webm,https://commons.wikimedia.org/wiki/File:Corona.Candle.webm,,1,0,,priority_review,
dynaknow_000047,physics_mechanics,Collisions transfer momentum between objects.,C,Carom billiards.webm,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,,2,0,,priority_review,
dynaknow_000048,physics_mechanics,Buoyancy depends on displaced fluid and object density.,D,Video of RP FLIP transitioning to vertical (120630-N-PO203-001).webm,https://commons.wikimedia.org/wiki/File:Video_of_RP_FLIP_transitioning_to_vertical_(120630-N-PO203-001).webm,,1,0,,priority_review,
dynaknow_000057,chemistry_material_change,Some chemical reactions produce color change.,A,Cat.ogv,https://commons.wikimedia.org/wiki/File:Cat.ogv,,2,15,auto_evidence_requires_review,priority_review,Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000061,chemistry_material_change,Combustion requires fuel and oxygen.,A,Corona.ogv,https://commons.wikimedia.org/wiki/File:Corona.ogv,,3,15,auto_evidence_requires_review,priority_review,Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000062,chemistry_material_change,Combustion requires fuel and oxygen.,B,CandleGettingBlownOut.ogv,https://commons.wikimedia.org/wiki/File:CandleGettingBlownOut.ogv,,4,15,auto_evidence_requires_review,priority_review,Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000067,physics_mechanics,Collisions transfer momentum between objects.,C,De 2e voetballoze zondag Weeknummer 61-06 - Open Beelden - 49287.ogv,https://commons.wikimedia.org/wiki/File:De_2e_voetballoze_zondag_Weeknummer_61-06_-_Open_Beelden_-_49287.ogv,,3,15,auto_evidence_requires_review,priority_review,Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000068,physics_mechanics,Collisions transfer momentum between objects.,D,Citybeat - Guitarist Snooker Champ Michael Laucke.ogv,https://commons.wikimedia.org/wiki/File:Citybeat_-_Guitarist_Snooker_Champ_Michael_Laucke.ogv,,4,15,auto_evidence_requires_review,priority_review,Dynamic evidence was auto-filled and requires manual verification.
