candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,collector_notes
commons_auto_000300,https://commons.wikimedia.org/wiki/File:De_vermaarde_handbiljarter_J._Heilbron-508928.ogv,wikimedia_commons,CC BY-SA 3.0 nl; Creative Commons Attribution-Share Alike 3.0 nl; artist metadata present,90.0,0.0,30.0,physics_mechanics,Collisions transfer momentum between objects.,Collected from Category:Videos of billiards; requires review for visible temporal evidence.,auto_collected; commons_title=File:De vermaarde handbiljarter J. Heilbron-508928.ogv; category=Category:Videos of billiards; Collision candidates; title usually gives object but not mechanism.
commons_auto_000301,https://commons.wikimedia.org/wiki/File:Europees_biljartkampioenschap.webm,wikimedia_commons,Public domain; Public domain; artist metadata present,0.0,0.0,30.0,physics_mechanics,Collisions transfer momentum between objects.,Collected from Category:Videos of billiards; requires review for visible temporal evidence.,auto_collected; commons_title=File:Europees biljartkampioenschap.webm; category=Category:Videos of billiards; Collision candidates; title usually gives object but not mechanism.
commons_auto_000302,https://commons.wikimedia.org/wiki/File:Chemical_reactions3.ogv,wikimedia_commons,CC BY-SA 3.0; Creative Commons Attribution-Share Alike 3.0; artist metadata present,108.0,0.0,45.0,chemistry_material_change,Some chemical reactions produce color change.,Collected from Category:Videos of chemical reactions; requires review for visible temporal evidence.,auto_collected; commons_title=File:Chemical reactions3.ogv; category=Category:Videos of chemical reactions; Broad category; candidate filter should reject animation/specialist titles.
commons_auto_000303,https://commons.wikimedia.org/wiki/File:Chemical_traffic_light.ogv,wikimedia_commons,CC BY-SA 4.0; Creative Commons Attribution-Share Alike 4.0; artist metadata present,27.9,0.0,27.9,chemistry_material_change,Some chemical reactions produce color change.,Collected from Category:Videos of chemical reactions; requires review for visible temporal evidence.,auto_collected; commons_title=File:Chemical traffic light.ogv; category=Category:Videos of chemical reactions; Broad category; candidate filter should reject animation/specialist titles.
commons_auto_000304,https://commons.wikimedia.org/wiki/File:1kHz.ogv,wikimedia_commons,CC BY-SA 3.0 rs; Creative Commons Attribution-Share Alike 3.0 rs; artist metadata present,10.4,0.0,10.4,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Collected from Category:Videos of sound; requires review for visible temporal evidence.,auto_collected; commons_title=File:1kHz.ogv; category=Category:Videos of sound; Potential vibration demonstrations; avoid performances where mechanism is not visible.
commons_auto_000305,https://commons.wikimedia.org/wiki/File:315Hz.ogv,wikimedia_commons,CC BY-SA 3.0 rs; Creative Commons Attribution-Share Alike 3.0 rs; artist metadata present,10.5,0.0,10.5,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Collected from Category:Videos of sound; requires review for visible temporal evidence.,auto_collected; commons_title=File:315Hz.ogv; category=Category:Videos of sound; Potential vibration demonstrations; avoid performances where mechanism is not visible.
commons_auto_000306,https://commons.wikimedia.org/wiki/File:A_day_with_sounds.ogv,wikimedia_commons,CC BY-SA 3.0; Creative Commons Attribution-Share Alike 3.0; artist metadata present,392.8,0.0,45.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Collected from Category:Videos of sound; requires review for visible temporal evidence.,auto_collected; commons_title=File:A day with sounds.ogv; category=Category:Videos of sound; Potential vibration demonstrations; avoid performances where mechanism is not visible.
commons_auto_000307,https://commons.wikimedia.org/wiki/File:Afaf.webm,wikimedia_commons,CC BY-SA 4.0; Creative Commons Attribution-Share Alike 4.0; artist metadata present,0.0,0.0,45.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Collected from Category:Videos of sound; requires review for visible temporal evidence.,auto_collected; commons_title=File:Afaf.webm; category=Category:Videos of sound; Potential vibration demonstrations; avoid performances where mechanism is not visible.
commons_auto_000308,https://commons.wikimedia.org/wiki/File:Buena_Vista_Winery_-_September_2024_-_Sarah_Stierch_02.webm,wikimedia_commons,"CC0; Creative Commons Zero, Public Domain Dedication; artist metadata present",0.0,0.0,45.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Collected from Category:Videos of sound; requires review for visible temporal evidence.,auto_collected; commons_title=File:Buena Vista Winery - September 2024 - Sarah Stierch 02.webm; category=Category:Videos of sound; Potential vibration demonstrations; avoid performances where mechanism is not visible.
commons_auto_000309,https://commons.wikimedia.org/wiki/File:By_breaking_the_metal_osmium_plate%2C_you_can_experience_the_hard_and_brittle_texture_of_metal_osmium..webm,wikimedia_commons,CC BY 2.0; Creative Commons Attribution 2.0; artist metadata present,0.0,0.0,45.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Collected from Category:Videos of sound; requires review for visible temporal evidence.,"auto_collected; commons_title=File:By breaking the metal osmium plate, you can experience the hard and brittle texture of metal osmium..webm; category=Category:Videos of sound; Potential vibration demonstrations; avoid performances where mechanism is not visible."
