video_id,answer_only_leakage,single_frame_sufficient,sparse_frames_sufficient,dynamic_knowledge_supported,decision,review_notes
dynaknow_000001,low,no,yes,yes,accept_dynamic_seed,"Pool-break process supports collision momentum transfer. Individual frames show billiards but not the transfer process; sparse frames are enough to infer the dynamic event."
dynaknow_000002,low,no,yes,yes,accept_dynamic_seed,"Bimetal coil bends after heat is applied. A still frame shows coil shape but not heat-triggered deformation; sparse frames reveal the process clearly."
dynaknow_000003,low,no,yes,yes,accept_dynamic_seed,"Iodine clock color change is only evident across time. A single beaker frame is insufficient; sparse frames reveal the color transition."
dynaknow_000004,medium,maybe,yes,yes,needs_hard_negative_revision,"Melting is dynamic, but a single frame showing ice in water may let models infer melting from common priors and option wording."
dynaknow_000006,medium,yes,yes,yes,reject_single_frame_shortcut,"Final frame alone strongly suggests seed germination/root-shoot emergence, so this fails the single-frame insufficiency criterion."
dynaknow_000007,low,no,yes,yes,accept_dynamic_seed,"Capillary breakup/surface-tension-driven droplet formation is visible across frames. Single frames show fluid shapes but not breakup; taxonomy wording was revised."
dynaknow_000005,medium,yes,yes,yes,reject_single_frame_shortcut,"Plant shoots are already visibly oriented in single frames; the source title also exposes phototropism, so this is weak for v1 filtering."
dynaknow_000008,medium,no,yes,partial,needs_mechanism_revision,"Water rises after the candle is covered, but pressure-difference wording may require background explanation not fully isolated visually."
dynaknow_000009,low,maybe,yes,partial,needs_visual_segment_selection,"Filtration setup is visible but the contact sheet does not strongly show retained particles versus passed liquid; needs a tighter segment or different candidate."
dynaknow_000010,low,no,yes,yes,accept_dynamic_seed,"Elastic pendulum motion shows changing height and speed across frames; single frames do not reveal oscillatory energy exchange."
