video_id,split_status,category,knowledge_point,answer,source_url,local_media,first_frame,middle_frame,last_frame,sparse_sheet,shortcut_decision,single_frame_sufficient,sparse_frames_sufficient,review_notes
dynaknow_000001,accepted,physics_mechanics,Collisions transfer momentum between objects.,A,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000001.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000001/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000001/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000001/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000001_sparse.jpg,accept_dynamic_seed,no,yes,Pool-break process supports collision momentum transfer. Individual frames show billiards but not the transfer process; sparse frames are enough to infer the dynamic event.
dynaknow_000002,accepted,chemistry_material_change,Materials can expand unevenly when heated.,A,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000002.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000002/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000002/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000002/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000002_sparse.jpg,accept_dynamic_seed,no,yes,Bimetal coil bends after heat is applied. A still frame shows coil shape but not heat-triggered deformation; sparse frames reveal the process clearly.
dynaknow_000003,accepted,chemistry_material_change,Some chemical reactions produce color change.,A,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000003.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000003/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000003/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000003/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000003_sparse.jpg,accept_dynamic_seed,no,yes,Iodine clock color change is only evident across time. A single beaker frame is insufficient; sparse frames reveal the color transition.
dynaknow_000007,accepted,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,A,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000007.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000007/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000007/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000007/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000007_sparse.jpg,accept_dynamic_seed,no,yes,Capillary breakup/surface-tension-driven droplet formation is visible across frames. Single frames show fluid shapes but not breakup; taxonomy wording was revised.
dynaknow_000010,accepted,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000010.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000010/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000010/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000010/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000010_sparse.jpg,accept_dynamic_seed,no,yes,Elastic pendulum motion shows changing height and speed across frames; single frames do not reveal oscillatory energy exchange.
dynaknow_000016,accepted,physics_mechanics,Unsupported objects accelerate downward under gravity.,B,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000016.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000016/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000016/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000016/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000016_sparse.jpg,accept_dynamic_seed,no,yes,"Water drop falls and impacts liquid; individual frames do not establish acceleration under gravity, while sparse frames reveal the falling/splash process."
dynaknow_000047,accepted,physics_mechanics,Collisions transfer momentum between objects.,C,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000047.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000047/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000047/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000047/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000047_sparse.jpg,accept_dynamic_seed,no,yes,Billiard balls change velocity after visible contacts. Single frames show a table state but not transfer through collision; sparse frames reveal the process.
dynaknow_000004,rejected_or_revise,chemistry_material_change,A solid can absorb heat and melt into a liquid.,A,https://commons.wikimedia.org/wiki/File:Melting_Ice_time_lapse.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000004.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000004/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000004/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000004/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000004_sparse.jpg,needs_hard_negative_revision,maybe,yes,"Melting is dynamic, but a single frame showing ice in water may let models infer melting from common priors and option wording."
dynaknow_000005,rejected_or_revise,biology_life_processes,Plant shoots can grow toward a light source.,A,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000005.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000005/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000005/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000005/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000005_sparse.jpg,reject_single_frame_shortcut,yes,yes,"Plant shoots are already visibly oriented in single frames; the source title also exposes phototropism, so this is weak for v1 filtering."
dynaknow_000006,rejected_or_revise,biology_life_processes,Seed germination involves root and shoot emergence.,A,https://commons.wikimedia.org/wiki/File:Sabzeh_sprouting_seeds_timelapse.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000006.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000006/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000006/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000006/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000006_sparse.jpg,reject_single_frame_shortcut,yes,yes,"Final frame alone strongly suggests seed germination/root-shoot emergence, so this fails the single-frame insufficiency criterion."
