candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,collector_notes,priority_score,review_flags,first_pass_decision,reviewer_notes
candidate_000001,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,wikimedia_commons,CC0 listed on file page verify before final use,5.9,0.0,5.9,physics_mechanics,Collisions transfer momentum between objects.,Billiard balls change motion after contact and momentum transfer is visible across time.,Strong seed for collision hard negatives.,8,,,
candidate_000006,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,33.0,0.0,33.0,chemistry_material_change,Materials can expand unevenly when heated.,The coil bends in response to heating and this deformation is only visible as a process.,High-value seed for thermal expansion difference.,8,,,
candidate_000013,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,wikimedia_commons,YouTube CC license listed on file page verify before final use,18.0,0.0,18.0,biology_life_processes,Plant shoots can grow toward a light source.,Tomato plant direction changes over the time lapse in response to light.,Strong seed for biology category.,8,,,
candidate_000036,https://commons.wikimedia.org/wiki/File:Timelapse-crystal.ogv,wikimedia_commons,CC BY 3.0 at; Creative Commons Attribution 3.0 at; artist metadata present,17.1,0.0,17.1,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,auto_collected; commons_title=File:Timelapse-crystal.ogv; category=Category:Time-lapse videos of ice; Good source for phase-change candidates.,7,,,
candidate_000035,https://commons.wikimedia.org/wiki/File:Time-Lapse.ogv,wikimedia_commons,CC BY-SA 3.0; Creative Commons Attribution-Share Alike 3.0; artist metadata present,26.0,0.0,26.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,auto_collected; commons_title=File:Time-Lapse.ogv; category=Category:Time-lapse videos of ice; Good source for phase-change candidates.,7,,,
candidate_000032,https://commons.wikimedia.org/wiki/File:Satellite_measurements_of_Greenland%27s_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,wikimedia_commons,Public domain; Public domain; artist metadata present,33.4,0.0,30.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,auto_collected; commons_title=File:Satellite measurements of Greenland's ice cover from 1979 to 2009 reveals a trend of increased melting.ogv; category=Category:Time-lapse videos of ice; Good source for phase-change candidates.,7,,,
candidate_000027,https://commons.wikimedia.org/wiki/File:Backwashing_demo_at_a_water_filtration_plant.webm,wikimedia_commons,CC BY-SA 4.0 listed on file page verify before final use,45.0,0.0,45.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Backwashing shows particles and water moving through filter media over time.,Candidate for filtration or fluidized-bed behavior.,6,,,
candidate_000026,https://commons.wikimedia.org/wiki/File:Filtration_Video_at_Leadville_NFH_(4857132923).webm,wikimedia_commons,CC BY 2.0 and USFWS public domain note listed verify before final use,39.0,0.0,39.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Water filtration is shown as a process rather than static equipment.,May be system explanation not lab demonstration.,6,,,
candidate_000024,https://commons.wikimedia.org/wiki/File:Vacuum_pump_filter_pour_sample_and_turn_on.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,55.0,0.0,55.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,The sample is poured and fluid passes through a filter while retained material remains.,Good procedural candidate if process is visible.,6,,,
candidate_000004,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,38.0,0.0,12.0,physics_mechanics,Unsupported objects accelerate downward under gravity.,A water drop falls and impacts liquid over time rather than being statically suspended.,Also shows surface tension so final label needs review.,6,,,
candidate_000003,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,wikimedia_commons,CC BY-SA 4.0 listed on file page verify before final use,17.0,0.0,17.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,The mass moves through coupled oscillations that cannot be inferred from a single frame.,May be more about coupled oscillation than basic pendulum energy.,6,,,
candidate_000002,https://commons.wikimedia.org/wiki/File:Torsion-pendulum.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,13.0,0.0,13.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Oscillatory motion requires seeing repeated position changes over time.,Check whether torsion pendulum wording should be separate from simple pendulum.,6,,,
candidate_000019,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,wikimedia_commons,YouTube CC license listed on file page verify before final use,17.0,0.0,17.0,everyday_causal_mechanisms,Pressure differences can move fluids.,Water rises after the candle is covered showing fluid motion driven by pressure change.,Risk of title leakage in metadata but task input can hide title.,6,,,
candidate_000018,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,9.4,0.0,9.4,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,A liquid filament changes into droplets due to surface tension over time.,Good dynamic candidate after adding capillary breakup wording to taxonomy.,6,,,
candidate_000028,https://commons.wikimedia.org/wiki/File:Candle_and_Match.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,25.0,0.0,25.0,chemistry_material_change,Combustion requires fuel and oxygen.,The match ignites the candle and the flame persists over time.,Single-frame may suffice for combustion so likely hard filter.,6,,,
candidate_000012,https://commons.wikimedia.org/wiki/File:Melting_ice.theora.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,29.0,0.0,29.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,The phase change direction is visible only from the sequence.,Need verify page exists and license.,6,,,
candidate_000011,https://commons.wikimedia.org/wiki/File:Ice_cubes_melting_in_a_glass.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,18.0,0.0,18.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Solid ice visibly decreases and liquid water increases over time.,Need verify if single frame still too informative.,6,,,
candidate_000010,https://commons.wikimedia.org/wiki/File:Melting_Ice_time_lapse.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,8.7,0.0,8.7,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Ice changes shape and liquid appears progressively over time.,Need verify exact file page and license.,6,,,
