candidate_id,source_url,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,priority_score,review_flags,video_available,dynamic_process_visible,knowledge_point_supported,single_frame_likely_sufficient,title_or_subtitle_leakage_risk,first_pass_decision,reviewer_notes
candidate_000001,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,5.9,0.0,5.9,physics_mechanics,Collisions transfer momentum between objects.,Billiard balls change motion after contact and momentum transfer is visible across time.,8,,,,,,,,
candidate_000006,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,33.0,0.0,33.0,chemistry_material_change,Materials can expand unevenly when heated.,The coil bends in response to heating and this deformation is only visible as a process.,8,,,,,,,,
candidate_000013,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,18.0,0.0,18.0,biology_life_processes,Plant shoots can grow toward a light source.,Tomato plant direction changes over the time lapse in response to light.,8,,,,,,,,
candidate_000036,https://commons.wikimedia.org/wiki/File:Timelapse-crystal.ogv,17.1,0.0,17.1,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,7,,,,,,,,
candidate_000035,https://commons.wikimedia.org/wiki/File:Time-Lapse.ogv,26.0,0.0,26.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,7,,,,,,,,
candidate_000032,https://commons.wikimedia.org/wiki/File:Satellite_measurements_of_Greenland%27s_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,33.4,0.0,30.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,7,,,,,,,,
candidate_000027,https://commons.wikimedia.org/wiki/File:Backwashing_demo_at_a_water_filtration_plant.webm,45.0,0.0,45.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Backwashing shows particles and water moving through filter media over time.,6,,,,,,,,
candidate_000026,https://commons.wikimedia.org/wiki/File:Filtration_Video_at_Leadville_NFH_(4857132923).webm,39.0,0.0,39.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Water filtration is shown as a process rather than static equipment.,6,,,,,,,,
candidate_000024,https://commons.wikimedia.org/wiki/File:Vacuum_pump_filter_pour_sample_and_turn_on.webm,55.0,0.0,55.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,The sample is poured and fluid passes through a filter while retained material remains.,6,,,,,,,,
candidate_000004,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,38.0,0.0,12.0,physics_mechanics,Unsupported objects accelerate downward under gravity.,A water drop falls and impacts liquid over time rather than being statically suspended.,6,,,,,,,,
candidate_000003,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,17.0,0.0,17.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,The mass moves through coupled oscillations that cannot be inferred from a single frame.,6,,,,,,,,
candidate_000002,https://commons.wikimedia.org/wiki/File:Torsion-pendulum.ogv,13.0,0.0,13.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Oscillatory motion requires seeing repeated position changes over time.,6,,,,,,,,
candidate_000019,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,17.0,0.0,17.0,everyday_causal_mechanisms,Pressure differences can move fluids.,Water rises after the candle is covered showing fluid motion driven by pressure change.,6,,,,,,,,
candidate_000018,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,9.4,0.0,9.4,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,A liquid filament changes into droplets due to surface tension over time.,6,,,,,,,,
candidate_000028,https://commons.wikimedia.org/wiki/File:Candle_and_Match.ogv,25.0,0.0,25.0,chemistry_material_change,Combustion requires fuel and oxygen.,The match ignites the candle and the flame persists over time.,6,,,,,,,,
candidate_000012,https://commons.wikimedia.org/wiki/File:Melting_ice.theora.ogv,29.0,0.0,29.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,The phase change direction is visible only from the sequence.,6,,,,,,,,
candidate_000011,https://commons.wikimedia.org/wiki/File:Ice_cubes_melting_in_a_glass.ogv,18.0,0.0,18.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Solid ice visibly decreases and liquid water increases over time.,6,,,,,,,,
candidate_000010,https://commons.wikimedia.org/wiki/File:Melting_Ice_time_lapse.webm,8.7,0.0,8.7,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Ice changes shape and liquid appears progressively over time.,6,,,,,,,,
candidate_000009,https://commons.wikimedia.org/wiki/File:103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,12.0,0.0,12.0,chemistry_material_change,Combustion requires fuel and oxygen.,Iron wool ignites and burns after being placed in oxygen over time.,6,,,,,,,,
candidate_000015,https://commons.wikimedia.org/wiki/File:Oxalis_Triangularis_Photonasty_Timelapse.ogv,5.7,0.0,5.7,biology_life_processes,Some organisms move toward or away from light.,Leaves open or close over a time lapse in response to light level change.,6,,,,,,,,
candidate_000014,https://commons.wikimedia.org/wiki/File:Azuki_Bean_phototropism.ogv,34.0,0.0,34.0,biology_life_processes,Plant shoots can grow toward a light source.,The shoot bends directionally over time rather than appearing only curved in one frame.,6,,,,,,,,
candidate_000048,https://commons.wikimedia.org/wiki/File:MagneticPendulum_VariableFriction.ogv,6.4,0.0,6.4,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000044,https://commons.wikimedia.org/wiki/File:Dynamikum_Gekoppelte_Pendel.ogv,7.8,0.0,7.8,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000043,https://commons.wikimedia.org/wiki/File:Double_pendulum_%26_spring1.ogv,41.5,0.0,41.5,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,5,,,,,,,,
