video_id,category,knowledge_point,answer,source_title,source_url,prior_review_decision,knowledge_point_seen_rank,risk_score,risk_flags,recommendation,notes
dynaknow_000004,chemistry_material_change,A solid can absorb heat and melt into a liquid.,A,Melting Ice time lapse.webm,https://commons.wikimedia.org/wiki/File:Melting_Ice_time_lapse.webm,needs_hard_negative_revision,1,100,previously_needs_revision;title_names_phenomenon,exclude,Prior review decision: needs_hard_negative_revision. Source title contains a keyword for the target phenomenon.
dynaknow_000005,biology_life_processes,Plant shoots can grow toward a light source.,A,Phototropism in Solanum lycopersicum.webm,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,reject_single_frame_shortcut,1,155,previously_rejected;title_names_phenomenon,exclude,Prior review decision: reject_single_frame_shortcut. Source title contains a keyword for the target phenomenon.
dynaknow_000006,biology_life_processes,Seed germination involves root and shoot emergence.,A,Sabzeh sprouting seeds timelapse.webm,https://commons.wikimedia.org/wiki/File:Sabzeh_sprouting_seeds_timelapse.webm,reject_single_frame_shortcut,1,100,previously_rejected,exclude,Prior review decision: reject_single_frame_shortcut.
dynaknow_000008,everyday_causal_mechanisms,Pressure differences can move fluids.,A,Water candle experiment.webm,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,needs_mechanism_revision,1,45,previously_needs_revision,revise_or_manual_review,Prior review decision: needs_mechanism_revision.
dynaknow_000009,procedural_operational_principles,Filtering separates solids from liquids by particle size.,A,Vacuum pump filter pour sample and turn on.webm,https://commons.wikimedia.org/wiki/File:Vacuum_pump_filter_pour_sample_and_turn_on.webm,needs_visual_segment_selection,1,115,previously_needs_revision;title_names_phenomenon;static_equipment_shortcut_risk,exclude,Prior review decision: needs_visual_segment_selection. Source title contains a keyword for the target phenomenon. Source title or object class may reveal the answer from static frames.
dynaknow_000011,chemistry_material_change,A solid can absorb heat and melt into a liquid.,A,Timelapse-crystal.ogv,https://commons.wikimedia.org/wiki/File:Timelapse-crystal.ogv,needs_full_video_review,2,60,previously_needs_revision;auto_evidence_requires_review,revise_or_manual_review,Prior review decision: needs_full_video_review. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000012,chemistry_material_change,A solid can absorb heat and melt into a liquid.,B,Time-Lapse.ogv,https://commons.wikimedia.org/wiki/File:Time-Lapse.ogv,needs_static_shortcut_review,3,60,previously_needs_revision;auto_evidence_requires_review,revise_or_manual_review,Prior review decision: needs_static_shortcut_review. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000013,chemistry_material_change,A solid can absorb heat and melt into a liquid.,C,Satellite measurements of Greenland's ice cover from 1979 to 2009 reveals a trend of increased melting.ogv,https://commons.wikimedia.org/wiki/File:Satellite_measurements_of_Greenland%27s_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,,4,150,title_names_phenomenon;auto_evidence_requires_review;remote_sensing_or_macro_ice_not_simple_phase_change,exclude,Source title contains a keyword for the target phenomenon. Dynamic evidence was auto-filled and requires manual verification. Title strongly suggests the candidate was mapped to the wrong knowledge point.
dynaknow_000014,procedural_operational_principles,Filtering separates solids from liquids by particle size.,D,Backwashing demo at a water filtration plant.webm,https://commons.wikimedia.org/wiki/File:Backwashing_demo_at_a_water_filtration_plant.webm,reject_static_equipment_or_title_leak,2,170,previously_rejected;title_names_phenomenon;static_equipment_shortcut_risk,exclude,Prior review decision: reject_static_equipment_or_title_leak. Source title contains a keyword for the target phenomenon. Source title or object class may reveal the answer from static frames.
dynaknow_000015,procedural_operational_principles,Filtering separates solids from liquids by particle size.,A,Filtration Video at Leadville NFH (4857132923).webm,https://commons.wikimedia.org/wiki/File:Filtration_Video_at_Leadville_NFH_(4857132923).webm,,3,70,title_names_phenomenon;static_equipment_shortcut_risk,revise_or_manual_review,Source title contains a keyword for the target phenomenon. Source title or object class may reveal the answer from static frames.
