video_id,category,knowledge_point,answer,source_url,local_media,first_frame,middle_frame,last_frame,sparse_sheet,answer_only_leakage,visible_text_or_overlay,ocr_leakage_status,single_frame_sufficient,sparse_frames_sufficient,dynamic_knowledge_supported,decision,review_notes
dynaknow_000001,physics_mechanics,Collisions transfer momentum between objects.,A,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,media/raw/dynaknow_000001.webm,media/frames/dynaknow_000001/first.jpg,media/frames/dynaknow_000001/middle.jpg,media/frames/dynaknow_000001/last.jpg,media/contact_sheets/sparse/dynaknow_000001_sparse.jpg,low,room wall decor only,pass,no,yes,yes,accept_dynamic_seed,Pool-break frames contain no explanatory text naming collision or momentum.
dynaknow_000002,chemistry_material_change,Materials can expand unevenly when heated.,A,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,media/raw/dynaknow_000002.ogv,media/frames/dynaknow_000002/first.jpg,media/frames/dynaknow_000002/middle.jpg,media/frames/dynaknow_000002/last.jpg,media/contact_sheets/sparse/dynaknow_000002_sparse.jpg,low,none,pass,no,yes,yes,accept_dynamic_seed,Bimetal heating frames contain no visible explanatory text.
dynaknow_000003,chemistry_material_change,Some chemical reactions produce color change.,A,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,media/raw/dynaknow_000003.ogv,media/frames/dynaknow_000003/first.jpg,media/frames/dynaknow_000003/middle.jpg,media/frames/dynaknow_000003/last.jpg,media/contact_sheets/sparse/dynaknow_000003_sparse.jpg,low,beaker graduations only,pass,no,yes,yes,accept_dynamic_seed,Beaker markings do not name the color-change reaction or target knowledge point.
dynaknow_000007,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,A,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,media/raw/dynaknow_000007.webm,media/frames/dynaknow_000007/first.jpg,media/frames/dynaknow_000007/middle.jpg,media/frames/dynaknow_000007/last.jpg,media/contact_sheets/sparse/dynaknow_000007_sparse.jpg,low,none,pass,no,yes,yes,accept_dynamic_seed,Capillary breakup frames contain no visible explanatory text.
dynaknow_000010,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,media/raw/dynaknow_000010.webm,media/frames/dynaknow_000010/first.jpg,media/frames/dynaknow_000010/middle.jpg,media/frames/dynaknow_000010/last.jpg,media/contact_sheets/sparse/dynaknow_000010_sparse.jpg,low,none,pass,no,yes,yes,accept_dynamic_seed,Pendulum frames contain no visible explanatory text.
dynaknow_000047,physics_mechanics,Collisions transfer momentum between objects.,C,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,media/raw/dynaknow_000047.webm,media/frames/dynaknow_000047/first.jpg,media/frames/dynaknow_000047/middle.jpg,media/frames/dynaknow_000047/last.jpg,media/contact_sheets/sparse/dynaknow_000047_sparse.jpg,low,table number only,pass,no,yes,yes,accept_dynamic_seed,Billiards frames contain only table numbering and no collision or momentum text.
dynaknow_000081,procedural_operational_principles,Vibration can cause granular materials to segregate by particle size.,A,https://commons.wikimedia.org/wiki/File:Brazil_nut_effect_demonstration.webm,media/raw/dynaknow_000081.webm,media/frames/dynaknow_000081/first.jpg,media/frames/dynaknow_000081/middle.jpg,media/frames/dynaknow_000081/last.jpg,media/contact_sheets/sparse/dynaknow_000081_sparse.jpg,low,none,pass,no,yes,yes,accept_dynamic_seed,Granular segregation frames contain no visible explanatory text.
dynaknow_000083,chemistry_material_change,Some chemical reactions produce color change.,B,https://commons.wikimedia.org/wiki/File:117._%D0%91%D0%B5%D0%BD%D0%B5%D0%B4%D0%B8%D0%BA%D1%82%D0%BE%D0%B2%D0%B0_%D1%80%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D1%98%D0%B0.webm,media/raw/dynaknow_000083.webm,media/frames/dynaknow_000083/first.jpg,media/frames/dynaknow_000083/middle.jpg,media/frames/dynaknow_000083/last.jpg,media/contact_sheets/sparse/dynaknow_000083_sparse.jpg,low,lab labels and no-smoking icon only,pass,no,yes,yes,accept_dynamic_seed,Lab signage does not name color change or the target chemical knowledge point.
dynaknow_000084,biology_life_processes,Plant shoots can grow toward a light source.,C,https://commons.wikimedia.org/wiki/File:Growth_of_mung_bean_seedlings.webm,media/raw/dynaknow_000084.webm,media/frames/dynaknow_000084/first.jpg,media/frames/dynaknow_000084/middle.jpg,media/frames/dynaknow_000084/last.jpg,media/contact_sheets/sparse/dynaknow_000084_sparse.jpg,low,none,pass,no,yes,yes,accept_dynamic_seed,Plant growth frames contain no visible explanatory text.
dynaknow_000088,everyday_causal_mechanisms,Pressure differences can move fluids.,B,https://commons.wikimedia.org/wiki/File:Meca_siphon.webm,media/segments/dynaknow_000088.mp4,media/frames/dynaknow_000088/first.jpg,media/frames/dynaknow_000088/middle.jpg,media/frames/dynaknow_000088/last.jpg,media/contact_sheets/sparse/dynaknow_000088_sparse.jpg,low,none,pass,no,yes,yes,accept_dynamic_seed,Trimmed siphon segment removes opening title frames and keeps visible liquid movement through the tube.
