search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,collector_notes
"Saffman Taylor viscous fingering video",strict_gate_physics,Saffman-Taylor Viscous Fingering,physics_physical_systems,流体不稳定性与涡动力学,"Finger growth and branching must unfold over time; a static fingered pattern is not enough.","Prefer clean Hele-Shaw or fluid-displacement footage without explanatory text."
"Rayleigh Benard convection video",strict_gate_physics,Rayleigh-Benard Convection,physics_physical_systems,热过程与浮力驱动流,"Convection cells or rolls must emerge or circulate over time.","Reject pure diagrams, simulations with labels, or static cell patterns."
"boiling bubble nucleation departure video",strict_gate_physics,Boiling Bubble Nucleation and Departure,physics_physical_systems,热过程与浮力驱动流,"Bubble sites must nucleate, grow, detach, and repeat over time.","Reject generic boiling footage where nucleation/departure is not visually separable."
"reaction diffusion wave video",strict_gate_chemistry,Reaction-Diffusion Wave,chemistry_materials_change,沉淀、自组织与扩散前沿,"Chemical wave fronts must propagate or reorganize through the medium over time.","Prefer clean dish/gel videos; reject labeled explainer animations."
"surfactant driven droplet motion video",strict_gate_chemistry,Surfactant-Driven Droplet Motion,chemistry_materials_change,界面输运与沉积,"Droplet motion must be driven by interfacial/surfactant gradients and visible as a trajectory over time.","Reject videos where the answer depends on text or page metadata."
"spherulitic growth time lapse video",strict_gate_chemistry,Spherulitic Growth,chemistry_materials_change,晶体生长与相变前沿,"Radial spherulite growth must develop progressively from nuclei.","Reject still micrographs or heavily labeled microscope panels."
"chloroplast photorelocation movement video",strict_gate_biology,Chloroplast Photorelocation Movement,biology_living_systems,植物细胞与器官动态响应,"Chloroplast positions must redistribute in response to illumination over time.","Reject single-frame plant-cell images and videos relying on source titles."
"bacterial swarming motility video",strict_gate_biology,Bacterial Swarming Motility,biology_living_systems,微生物与群体动力学,"A colony front or swarm pattern must expand/reorganize over time.","Reject static colony morphology and videos with labels revealing the answer."
"slime mold aggregation video",strict_gate_biology,Slime Mold Aggregation,biology_living_systems,微生物与群体动力学,"Distributed cells or plasmodial structures must aggregate/network over time.","Reject generic slime mold object shots."
"rotational slump failure video",strict_gate_earth,Rotational Slump Failure,earth_environmental_systems,地质变形与质量流失稳,"Slope material must rotate/slump along a curved failure surface over time.","Reject aftermath-only landslide videos."
"gully headcut retreat video",strict_gate_earth,Gully Headcut Retreat,earth_environmental_systems,坡面侵蚀与地貌演化,"The erosion head must visibly migrate upstream/backward over time.","Reject generic muddy flow without headcut retreat."
"dune slip face avalanche video",strict_gate_earth,Dune Slip-Face Avalanche,earth_environmental_systems,风沙与沙丘动力学,"Sand must cascade down the dune slip face as an avalanche sheet or pulse.","Reject scenic dune footage without the dynamic avalanche."
