video_id,source_url,direct_url,media_ok,duration_sec,category,knowledge_point,question,choice_A,choice_B,choice_C,choice_D,answer,dynamic_evidence,static_insufficient_reason,video_available,dynamic_process_visible,knowledge_point_supported,answer_only_leakage,single_frame_sufficient,sparse_frames_sufficient,title_or_subtitle_leakage,review_decision,reviewer_notes,balance_rank,selection_reason
dynaknow_000019,https://commons.wikimedia.org/wiki/File:Melting_ice.theora.ogv,https://upload.wikimedia.org/wikipedia/commons/9/9b/Melting_ice.theora.ogv,,29.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A solid can absorb heat and melt into a liquid.,A liquid can evaporate when heated or exposed to airflow.,Cooling can cause liquid to solidify.,A gas can condense into liquid droplets on a cold surface.,A,0.0-29.0: The phase change direction is visible only from the sequence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000020,https://commons.wikimedia.org/wiki/File:Ice_cubes_melting_in_a_glass.ogv,https://upload.wikimedia.org/wikipedia/commons/0/0e/Ice_cubes_melting_in_a_glass.ogv,,18.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A liquid can evaporate when heated or exposed to airflow.,A solid can absorb heat and melt into a liquid.,Cooling can cause liquid to solidify.,A gas can condense into liquid droplets on a cold surface.,B,0.0-18.0: Solid ice visibly decreases and liquid water increases over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000026,https://commons.wikimedia.org/wiki/File:Double_pendulum_%26_spring1.ogv,https://upload.wikimedia.org/wikipedia/commons/7/75/Double_pendulum_&_spring1.ogv,,41.5,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A pendulum exchanges gravitational potential energy and kinetic energy.,D,0.0-41.5: Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000027,https://commons.wikimedia.org/wiki/File:20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,https://upload.wikimedia.org/wikipedia/commons/5/5f/20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,,50.8,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A,0.0-50.8: Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000032,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s2.ogv,https://upload.wikimedia.org/wikipedia/commons/e/e3/Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s2.ogv,,14.6,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Magnetic fields can align or attract ferromagnetic materials.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,B,0.0-14.6: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000033,https://commons.wikimedia.org/wiki/File:54._%D0%9C%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%BD%D0%BE_%D0%BF%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B0%D0%B2_%D1%81%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA.ogg,https://upload.wikimedia.org/wikipedia/commons/3/39/54._%D0%9C%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%BD%D0%BE_%D0%BF%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B0%D0%B2_%D1%81%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA.ogg,,34.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,Magnetic fields can align or attract ferromagnetic materials.,A spinning object can maintain angular momentum.,C,0.0-34.0: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000041,https://commons.wikimedia.org/wiki/File:Cap_4.6_-_Frequencia_de_engrenamento.ogv,,,50.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A,0.0-50.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000042,https://commons.wikimedia.org/wiki/File:Cap_4.5_-_Componentes_soltos_bancada_4_-_2.ogv,,,15.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A pendulum exchanges gravitational potential energy and kinetic energy.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,B,0.0-15.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000043,https://commons.wikimedia.org/wiki/File:Cap_4.5_-_Componentes_soltos_bancada_4_-_1.ogv,,,14.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,A pendulum exchanges gravitational potential energy and kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,C,0.0-14.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
dynaknow_000044,https://commons.wikimedia.org/wiki/File:Cap_4.3_-_Desalinhamento_angular_de_eixo_na_bancada_4.ogv,,,15.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A pendulum exchanges gravitational potential energy and kinetic energy.,D,0.0-15.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,,knowledge_point_cap
