video_id,domain,subdomain,concept_id,knowledge_point_en,knowledge_point_zh,concept_type,validity_tier,duration_sec,local_media,evidence_summary
vdcr_000001,biology_living_systems,biology_family_06,vdcr_concept_0162,Endocytosis,胞吞作用,自然动态机制,strict_main_candidate,16.393,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,"NIH microscopy footage; dynamic uptake/vesicle process is visible; only scale bar and timestamp overlays, no answer text."
vdcr_000002,biology_living_systems,biology_family_06,vdcr_concept_0163,Exocytosis,胞吐作用,自然动态机制,strict_main_candidate,19.946,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,"NIH microscopy footage; regulated exocytosis/granule release dynamics are visible; only scale bar and timestamp overlays, no answer text."
vdcr_000006,biology_living_systems,biology_family_01,vdcr_concept_0114,Murmuration,鸟群群舞,生态行为策略,strict_main_candidate,99.8,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000045.ogv,Clean starling flock footage with no text leakage; the dynamic collective flocking pattern is visible over time.
vdcr_000013,biology_living_systems,biology_family_05,vdcr_concept_0153,Cytoplasmic Streaming,细胞质流动,自然动态机制,core_main,40.007,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000.mp4,Trimmed segment removes earlier teaching labels; close microscopy shows intracellular granule/endoplasm motion and cell-shape change without answer text.
vdcr_000014,biology_living_systems,biology_family_04,vdcr_concept_0146,Thigmonasty,感触性运动,自然动态机制,core_main,12.9,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000027.mp4,"Clean Mimosa pudica touch-response clip; leaflets fold after finger contact with no visible concept text, instantiating touch-induced nastic movement."
vdcr_000020,biology_living_systems,biology_family_04,vdcr_concept_0143,Phototropism,向光性,自然动态机制,core_main,18.018,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000003.webm,New Commons time-lapse shows tomato seedlings changing curvature direction over time toward illumination with no visible answer text.
vdcr_000030,biology_living_systems,biology_family_04,vdcr_concept_0151,Bistable Snap-Trap Closure,双稳态捕虫夹闭合,自然动态机制,core_main,88.239,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000005.webm,"New Commons time-lapse shows a Venus flytrap lobe closing around prey after contact/capture; no visible answer text, and the dynamic trap closure is required to identify the specialized plant movement."
vdcr_000032,biology_living_systems,biology_family_07,vdcr_concept_0168,Microtubule Dynamic Instability,微管动态不稳定性,自然动态机制,core_main,13.367,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000002.ogv,"New Commons scientific animation shows microtubules switching between polymerization growth and depolymerization shrinkage; no answer text is visible, and the named concept depends on the time-evolving grow-collapse sequence."
vdcr_000033,biology_living_systems,biology_family_05,vdcr_concept_0159,Calcium Wave Propagation,钙波传播,自然动态机制,core_main,5.0,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000003.ogv,"New Commons/PLOS microscopy clip shows green fluorescence propagating through connected cells as a spatial wave after stimulation; no answer text is visible, and the concept requires observing propagation rather than isolated bright cells."
vdcr_000039,biology_living_systems,biology_family_01,vdcr_concept_0111,Metachronal Wave Locomotion,节律相位波推进,自然动态机制,core_main,14.44,media/vdcr_commons_manual_round7_v1/vdcr_commons_mr7_000002.webm,"New Commons reviewed scientific animation shows phase-shifted ciliary beat cycles around a multi-ciliated microswimmer, producing coordinated locomotion; no visible answer text, and the concept requires temporal phase ordering rather than a static ciliate shape."
vdcr_000044,biology_living_systems,biology_family_01,vdcr_concept_0112,Bubble-Net Feeding,泡泡网捕食,生态行为策略,core_main,42.988,media/vdcr_commons_manual_segments_round9_v1/vdcr_commons_mr9_000004_noaudio.webm,"New Commons clip shows a bubble curtain forming a ring followed by whales surfacing inside the ring to feed; this is an ecological strategy sequence rather than generic whale motion. Local admitted media is no-audio, but Commons external-source license review remains required before release."
vdcr_000047,biology_living_systems,biology_family_05,vdcr_concept_0157,Axonal Transport,轴突运输,自然动态机制,strict_main_candidate,20.0,media/vdcr_commons_manual_round11_v1/vdcr_commons_mr11_000003.ogv,"New Commons/PLOS microscopy movie shows fluorescent puncta moving directionally along long axonal processes; no answer text is visible, and the concept requires observing transport trajectories rather than a static field of green particles."
vdcr_000048,biology_living_systems,biology_family_06,vdcr_concept_0164,Phagocytosis,吞噬作用,自然动态机制,strict_main_candidate,57.8,media/vdcr_commons_manual_round11_v1/vdcr_commons_mr11_000004.webm,"New Commons microscopy video shows a neutrophil-like cell searching, contacting, deforming around, and absorbing a bacterium among red blood cells; no patient-identifiable information or answer text is visible, and the named concept depends on the engulfment sequence."
vdcr_000056,biology_living_systems,biology_family_05,vdcr_concept_0158,Coordinated Ciliary Beating Dynamics,协同纤毛摆动动态,自然动态机制,strict_main_candidate,16.667,media/vdcr_segments_pilot_v1/vdcr_commons_mr14_000004_seg_000000_016667_clean.webm,"New clean no-metadata microscopy segment has no audio stream, no answer text, and shows motile cilia along the epithelial edge repeatedly changing waveform across consecutive frames. The concept is not generic cell imaging: it requires observing rhythmic ciliary beat cycles, not a single static view of cilia."
vdcr_000059,biology_living_systems,biology_family_04,vdcr_concept_0148,Nyctinasty,昼夜感性运动,自然动态机制,core_main,50.88,media/vdcr_segments_pilot_v1/vdcr_commons_mr15_000005_seg_000000_051000_crop_clean.webm,New cropped clean segment removes the time overlay and shows a flower opening through a continuous plant-organ movement sequence. The concept is not static flower recognition: it requires observing the nastic opening motion over time rather than identifying the plant or final open-flower state.
vdcr_000062,biology_living_systems,biology_family_04,vdcr_concept_0144,Gravitropism,向重性,自然动态机制,core_main,1.6,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000004.gif,"New Commons animation shows a root tip progressively curving relative to downward gravity arrows as asymmetric growth response accumulates along the organ. This is a schematic rather than raw microscopy, but the target is the named plant tropism mechanism; the reviewer should keep the static-diagram shortcut risk visible in final sampling."
vdcr_000067,biology_living_systems,biology_family_09,vdcr_concept_0184,Plasmolysis and Deplasmolysis,质壁分离与复原,自然动态机制,strict_main_candidate,20.787,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000004.ogv,"New Commons microscopy timelapse shows plant epidermal cells whose internal contents shrink away from the cell walls and then recover or expand, instantiating plasmolysis and deplasmolysis. A single frame is just a plant-cell micrograph; the named concept requires observing the shrinkage-and-recovery sequence."
vdcr_000071,biology_living_systems,biology_family_05,vdcr_concept_0155,Cytokinetic Furrow Ingression,胞质分裂沟收缩,自然动态机制,strict_main_candidate,36.143,media/vdcr_segments_pilot_v1/vdcr_commons_mr19_000007_seg_000000_036143_crop_clean.webm,"New cropped clean microscopy segment removes the time overlay and shows a dividing cell forming a narrowing cleavage furrow between two daughter-cell lobes, followed by connection or regression dynamics. A single frame may show two rounded lobes, but the named concept requires observing the furrow constricting over time."
vdcr_000074,biology_living_systems,biology_family_07,vdcr_concept_0173,Membrane Blebbing,细胞膜起泡,自然动态机制,strict_main_candidate,40.0,media/vdcr_commons_manual_round20_v1/vdcr_commons_mr20_000009.ogv,New Commons/PLOS microscopy video shows a migrating cell edge repeatedly forming rounded membrane protrusions and changing outline over time. A single frame is only a phase-contrast cell image; the named concept requires the transient bleb formation/retraction dynamics.
vdcr_000078,biology_living_systems,biology_family_07,vdcr_concept_0169,Actin Wave,肌动蛋白波,自然动态机制,strict_main_candidate,7.833,media/vdcr_segments_pilot_v1/vdcr_commons_mr21_000005_metadata_clean.mp4,"New metadata-stripped derivative from a Commons/PLOS microscopy video shows bright actin-associated wave structures propagating, colliding, and reorganizing along the cell cortex. A single frame shows only a fluorescent cell boundary or punctate signal; the named concept requires observing the wave-like propagation and annihilation/reorganization over time."
vdcr_000081,biology_living_systems,biology_family_01,vdcr_concept_0108,C-Start Escape Response,C 型快速逃逸反应,专有动态动作概念,core_main,5.0,media/vdcr_segments_pilot_v1/vdcr_commons_mr22_000006_seg_015000_020000_clean.mp4,"New no-audio clean segment cuts away title cards and shows a fish rapidly bending from an elongated posture into a C-shaped body configuration and accelerating away. A single frame may show a fish near a predator or a curved body, but the named concept requires the rapid bend-and-escape temporal sequence."
vdcr_000086,biology_living_systems,biology_family_01,vdcr_concept_0109,Medusan Jet Propulsion by Bell Contraction,水母伞体收缩喷射推进,自然动态机制,strict_main_candidate,38.071,media/vdcr_segments_pilot_v1/vdcr_commons_mr25_000001_metadata_clean.mp4,"New no-audio metadata-stripped derivative from a Commons jellyfish video shows multiple medusan jellyfish repeatedly contracting and relaxing their bells while moving through water. A single frame can identify jellyfish, but the named concept requires observing the rhythmic bell-contraction propulsion sequence over time."
vdcr_000090,biology_living_systems,biology_family_05,vdcr_concept_0156,Neutrophil Chemotaxis,中性粒细胞趋化,自然动态机制,strict_main_candidate,11.333,media/vdcr_segments_pilot_v1/vdcr_commons_mr28_000002_metadata_clean.mp4,"New no-audio metadata-stripped derivative shows fluorescent neutrophil-like cells migrating through a microfluidic maze/racecourse over time. A single frame can show only cells and channel geometry; the named concept requires observing directed cell migration and path traversal through time, so this passes as Neutrophil Chemotaxis rather than generic cell motion."
vdcr_000096,biology_living_systems,biology_family_08,vdcr_concept_0174,Early Embryonic Cleavage Sequence,早期胚胎卵裂序列,自然动态机制,strict_main_candidate,11.9,media/vdcr_segments_pilot_v1/vdcr_commons_mr32_000004_metadata_clean.mp4,Commons/PLOS microscopy time-lapse shows an early embryo progressing through repeated cleavage divisions into many smaller cells. The visible timestamp is not answer-bearing; the source metadata was stripped. The concept requires observing the temporal division sequence rather than identifying a static embryo.
vdcr_000099,biology_living_systems,biology_family_10,vdcr_concept_0186,Bacterial Swarming Motility,细菌集群运动,自然动态机制,strict_main_candidate,20.1,media/vdcr_segments_pilot_v1/vdcr_commons_mr34_000005_metadata_clean.mp4,The cleaned Commons microscopy segment shows a bacterial vortex/colony region with collective internal motion and boundary evolution over time. A static frame only shows colony morphology; the named concept requires observing coordinated swarm motility. Audio and answer-bearing source metadata were stripped.
vdcr_000102,biology_living_systems,biology_family_09,vdcr_concept_0182,Pollen Tube Chemotropic Growth,花粉管趋化生长,自然动态机制,strict_main_candidate,6.75,media/vdcr_segments_pilot_v1/vdcr_commons_mr36_000002_crop_metadata_clean.mp4,"The cleaned microscopy time-lapse shows a GFP-tagged pollen tube extending and navigating into the ovule structure over time. A single frame shows only a tube-like fluorescence trace; the VDCR answer depends on observing directional tip growth and navigation. The source page double-checks short-range ovule-signal attraction/repulsion, while the video provides the directed growth trajectory. Time labels, scale bars, audio, and metadata were removed."
vdcr_000103,biology_living_systems,biology_family_09,vdcr_concept_0183,Root Hair Tip Growth,根毛极性生长,自然动态机制,strict_main_candidate,15.25,media/vdcr_segments_pilot_v1/vdcr_commons_mr36_000003_crop_metadata_clean.mp4,"The cleaned microscopy time-lapse shows an elongating root hair with the growing tip advancing across frames. A static image can identify a root-hair-like structure, but cannot establish polarized tip growth; the concept requires temporal extension of the tip. The source page double-checks root-hair polarity/elongation, while the video itself shows the extension sequence. Timestamp overlays, audio, and metadata were removed."
vdcr_000109,biology_living_systems,biology_family_10,vdcr_concept_0187,Biofilm Colony Expansion Dynamics,生物膜群落扩张动态,自然动态机制,strict_main_candidate,8.25,media/vdcr_segments_pilot_v1/vdcr_public_mr43_000002_biofilm_expansion_clean.mp4,"Metadata-clean video-only NIGMS time-lapse shows red biofilm/colony material expanding through a curved microfluidic channel and progressively occupying/blocking the flow path. A single frame can show colored material inside a channel, but the target concept requires observing collective biofilm front expansion and channel-occupancy growth across time. The NIGMS page double-checks the biofilm-over-56-hours context; the pass decision relies on visible expansion and blockage dynamics in the cleaned video. Audio and container creation metadata were removed."
vdcr_000113,biology_living_systems,biology_family_05,vdcr_concept_0154,Mitotic Chromosome Segregation,有丝分裂染色体分离,自然动态机制,core_main,76.667,media/vdcr_segments_pilot_v1/vdcr_public_mr47_000001_mitotic_chromosome_segregation_crop_clean.mp4,"Cropped metadata-clean PLOS ONE supplementary microscopy time-lapse shows H2B-GFP labeled chromosomes condensing/aligned as bright bars, separating into two groups, and resolving into daughter nuclei/cells over time. A single fluorescent cell frame may show nuclei or condensed chromosomes, but the target concept requires observing the temporal mitotic chromosome movement and segregation sequence. The source page double-checks that the movie contains control HeLa cells entering mitosis and is CC BY; the pass decision relies on visible chromosome dynamics rather than source text. The accepted derivative removes source metadata and crops out the embedded bottom timestamp band; there is no audio or answer text."
vdcr_000004,chemistry_materials_change,materials_family_03,vdcr_concept_0074,Briggs-Rauscher Reaction,布里格斯-劳舍尔振荡反应,实验动态图样,core_main,29.893,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,"Trimmed segment removes setup reagent labels; visible liquid repeatedly changes between blue and yellow states, showing oscillating reaction dynamics."
vdcr_000007,chemistry_materials_change,materials_family_07,vdcr_concept_0090,Diffusion Flame,扩散火焰,自然动态机制,strict_main_candidate,10.0,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000008.ogv,Clean laminar jet diffusion flame footage; flame forms and stabilizes without answer text.
vdcr_000009,chemistry_materials_change,materials_family_03,vdcr_concept_0073,Belousov-Zhabotinsky Reaction,别洛乌索夫-扎鲍廷斯基振荡反应,实验动态图样,core_main,90.0,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,Trimmed segment shows BZ reaction-diffusion ring/spiral chemical-wave dynamics in a dish without answer text.
vdcr_000012,chemistry_materials_change,materials_family_03,vdcr_concept_0070,Iodine Clock Reaction,碘钟反应,实验动态图样,core_main,10.01,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop.mp4,Cropped segment removes bottom subtitles and setup labels; flask contents undergo a delayed sudden dark color transition without answer text.
vdcr_000015,chemistry_materials_change,materials_family_01,vdcr_concept_0059,Shear Thickening,剪切增稠,自然动态机制,core_main,18.001,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000.mp4,Trimmed segment removes graph/title/ad scenes; hand rapidly stirs and grabs oobleck-like suspension that behaves solid under shear and then flows without answer text.
vdcr_000018,chemistry_materials_change,materials_family_04,vdcr_concept_0076,Chemical Garden Growth,化学花园生长,实验动态图样,core_main,12.0,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000001_seg_008000_020000.mp4,New Commons segment trims title cards and explanatory overlays; visible tubular precipitate structures grow upward over time without answer text.
vdcr_000019,chemistry_materials_change,materials_family_03,vdcr_concept_0071,Blue Bottle Reaction,蓝瓶反应,实验动态图样,strict_main_candidate,130.0,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000002_seg_020000_150000.mp4,"New Commons segment removes the opening whiteboard answer text; flask cycles between blue and colorless states under shaking/resting, supporting the named redox indicator reaction."
vdcr_000027,chemistry_materials_change,materials_family_02,vdcr_concept_0069,Supercooled Liquid Rapid Crystallization,过冷液体瞬时结晶,实验动态图样,core_main,45.081,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000001.ogv,"New Commons raw clip shows seeded crystallization rapidly propagating through a supersaturated sodium-acetate solution in a flask; visible setup objects do not reveal the answer, and the temporal spreading front is the discriminative cue."
vdcr_000028,chemistry_materials_change,materials_family_04,vdcr_concept_0078,Liesegang Ring Formation,利塞冈环形成,实验动态图样,core_main,31.419,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000002.webm,"New Commons raw clip shows discontinuous horizontal precipitation bands appearing in a gel over time; no in-frame answer text is visible, and the pattern requires temporal band formation rather than a static final image."
vdcr_000029,chemistry_materials_change,materials_family_06,vdcr_concept_0086,Thin-Film Dewetting,液膜退润湿,自然动态机制,core_main,17.917,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000004.ogv,New Commons/PMC supplementary movie shows a film/droplet layer retracting into separated rounded domains over time; x10 and timer overlays remain but do not reveal the answer.
vdcr_000038,chemistry_materials_change,materials_family_06,vdcr_concept_0083,Spinodal Decomposition,旋节线分解,自然动态机制,core_main,23.76,media/vdcr_commons_manual_round6_v1/vdcr_commons_mr6_000001.ogv,"New Commons/Nature Communications simulation shows initially mixed short rods separating into extended orientation/color domains over time; no answer text is visible, and the named concept requires the temporal demixing trajectory rather than a static final texture."
vdcr_000045,chemistry_materials_change,materials_family_02,vdcr_concept_0066,Dendritic Crystal Growth,树枝状晶体生长,自然动态机制,core_main,2.5,media/vdcr_commons_manual_round10_v1/vdcr_commons_mr10_000002.gif,"New Commons public-domain animation cleanly shows branching dendrite arms growing outward over time; no visible answer text, and the target concept requires observing the growth trajectory rather than only a final dendrite shape."
vdcr_000046,chemistry_materials_change,materials_family_06,vdcr_concept_0084,Ostwald Ripening,奥斯特瓦尔德熟化,自然动态机制,strict_main_candidate,34.0,media/vdcr_commons_manual_segments_round10_v1/vdcr_commons_mr10_000004_seg_012000_460000_lowerfoam_noaudio.mp4,New no-audio lower-panel crop removes title text and shows foam coarsening: smaller bubbles disappear while larger bubbles grow and merge over time; the concept requires the temporal size-transfer pattern rather than a static foam texture.
vdcr_000053,chemistry_materials_change,materials_family_03,vdcr_concept_0072,Chemical Traffic Light Reaction,化学交通灯反应,实验动态图样,strict_main_candidate,56.617,media/vdcr_commons_manual_round13_v1/vdcr_commons_mr13_000003.webm,"New Commons time-lapse shows the same reaction flask cycling through green, red/orange, and yellow-green states after mixing/agitation; no answer text or audio stream is present, and the named concept requires the repeated traffic-light color sequence rather than a single color frame."
vdcr_000055,chemistry_materials_change,materials_family_08,vdcr_concept_0098,Electrolysis Bubble Nucleation and Detachment,电解气泡成核与脱离,自然动态机制,strict_main_candidate,30.709,media/vdcr_segments_pilot_v1/vdcr_commons_mr14_000001_seg_000000_031270_noaudio.webm,"New no-audio segment shows repeated gas bubbles appearing on the electrode surface, growing into visible bubble clouds, and detaching/releasing into the liquid during electrolysis. A single frame can show an electrode and bubbles, but the named concept requires the temporal nucleation-growth-detachment cycle rather than generic bubbling."
vdcr_000060,chemistry_materials_change,materials_family_07,vdcr_concept_0089,Reactive Flame-Front Propagation,反应性火焰前沿传播,自然动态机制,strict_main_candidate,15.2,media/vdcr_segments_pilot_v1/vdcr_commons_mr16_000001_seg_000000_015206_clean.webm,"New clean no-audio segment shows an ethanol flame/reaction front entering one end of a narrow channel, propagating along the channel, and then fading after the front has traversed the fuel path. A single frame only shows a dark channel or a flame patch; the named concept requires the temporal advance of the flame front rather than generic fire recognition."
vdcr_000061,chemistry_materials_change,materials_family_08,vdcr_concept_0097,Metal Displacement Dendrite Growth,金属置换枝晶生长,实验动态图样,strict_main_candidate,31.364,media/vdcr_segments_pilot_v1/vdcr_commons_mr17_000002_seg_000000_031371_clean.webm,"New clean no-audio segment shows white/silver dendritic crystal branches extending and thickening on a copper-colored substrate during a metal-displacement reaction. A single frame can show crystals, but the named concept requires observing branching growth over time rather than static crystal morphology."
