id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
vdcr_commons_mr4_000001,https://commons.wikimedia.org/wiki/File:Vorticella_vortex_DSC_1703.webm,Vorticella vortex formed by ciliary beating,https://upload.wikimedia.org/wikipedia/commons/0/00/Vorticella_vortex_DSC_1703.webm,video/webm,0.0,Commons review needed,Commons page says ciliary-beating water current; verify license on page
vdcr_commons_mr4_000002,https://commons.wikimedia.org/wiki/File:MicrotubuleDynamicInstability.ogv,Microtubule dynamic instability,https://upload.wikimedia.org/wikipedia/commons/a/a0/MicrotubuleDynamicInstability.ogv,video/ogg,0.0,Commons review needed,Commons scientific animation; verify no text leakage
vdcr_commons_mr4_000003,https://commons.wikimedia.org/wiki/File:Calcium-Wave-Propagation-in-Networks-of-Endothelial-Cells-Model-based-Theoretical-and-Experimental-pcbi.1002847.s006.ogv,Calcium wave propagation in endothelial cells,https://upload.wikimedia.org/wikipedia/commons/3/33/Calcium-Wave-Propagation-in-Networks-of-Endothelial-Cells-Model-based-Theoretical-and-Experimental-pcbi.1002847.s006.ogv,video/ogg,0.0,CC-BY likely via PLOS,Commons import from PLOS supplementary movie; verify on page
vdcr_commons_mr4_000004,https://commons.wikimedia.org/wiki/File:Calcium-spikes-waves-and-oscillations-in-a-large-patterned-epithelial-tissue-srep42786-s2.ogv,Calcium spikes waves and oscillations in epithelial tissue,https://upload.wikimedia.org/wikipedia/commons/a/a6/Calcium-spikes-waves-and-oscillations-in-a-large-patterned-epithelial-tissue-srep42786-s2.ogv,video/ogg,0.0,CC-BY likely via Scientific Reports,Duplicate candidate for calcium-wave concept; verify visual quality
vdcr_commons_mr4_000005,https://commons.wikimedia.org/wiki/File:PIAS%CE%B3-Is-Required-for-Faithful-Chromosome-Segregation-in-Human-Cells-pone.0000053.s006.ogv,Chromosome segregation in human cells,https://upload.wikimedia.org/wikipedia/commons/a/ab/PIAS%CE%B3-Is-Required-for-Faithful-Chromosome-Segregation-in-Human-Cells-pone.0000053.s006.ogv,video/ogg,0.0,CC-BY likely via PLOS,Commons import from PLOS supplementary movie; verify no text leakage
vdcr_commons_mr4_000006,https://commons.wikimedia.org/wiki/File:Cell_in_mitosis_(real_time).ogv,Cell in mitosis real time,https://upload.wikimedia.org/wikipedia/commons/d/d7/Cell_in_mitosis_%28real_time%29.ogv,video/ogg,0.0,Commons review needed,Duplicate candidate for mitotic chromosome segregation; verify visual quality
vdcr_commons_mr4_000007,https://commons.wikimedia.org/wiki/File:Phoenix_DustStorm.webm,Phoenix dust storm,https://upload.wikimedia.org/wikipedia/commons/7/70/Phoenix_DustStorm.webm,video/webm,0.0,Commons review needed,Candidate for dust storm front propagation; reject if just generic dust cloud
vdcr_commons_mr4_000008,https://commons.wikimedia.org/wiki/File:Pyrocumulonimbus_Billow_From_Alberta_Wildfires_(CIRA_2025-05-30_-_nolabels).webm,Pyrocumulonimbus billow from Alberta wildfires,https://upload.wikimedia.org/wikipedia/commons/5/53/Pyrocumulonimbus_Billow_From_Alberta_Wildfires_%28CIRA_2025-05-30_-_nolabels%29.webm,video/webm,0.0,NOAA/CIRA public-domain likely,Satellite loop candidate for pyrocumulus development; verify no labels and no title text
vdcr_commons_mr4_000009,https://commons.wikimedia.org/wiki/File:A_%22bomb_cyclone%22_creates_a_dust_storm_in_New_Mexico_and_Texas_(CIRA_2019-04-11).webm,Bomb cyclone dust storm in New Mexico and Texas,https://upload.wikimedia.org/wikipedia/commons/f/f3/A_%22bomb_cyclone%22_creates_a_dust_storm_in_New_Mexico_and_Texas_%28CIRA_2019-04-11%29.webm,video/webm,0.0,NOAA/CIRA public-domain likely,Duplicate candidate for dust storm front propagation; verify dynamic front
vdcr_commons_mr4_000010,https://commons.wikimedia.org/wiki/File:Fires_Billow_Smoke_Across_the_Pacific_Northwest_(CIRA_2024-09-05_-_nolabels).webm,Fires billow smoke across the Pacific Northwest,https://upload.wikimedia.org/wikipedia/commons/9/94/Fires_Billow_Smoke_Across_the_Pacific_Northwest_%28CIRA_2024-09-05_-_nolabels%29.webm,video/webm,0.0,NOAA/CIRA public-domain likely,Candidate for convective smoke plume rise; verify no labels and no title text
