id,candidate_knowledge_point,local_media,contact_sheet,review_status,recommended_action,suggested_start_sec,suggested_end_sec,review_notes
vdcr_archive_b02_000078,Rabona,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000078.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000078/contact_sheet.jpg,review,manual_sequence_check,0,3,"Likely a soccer Rabona technique clip, but duration is very short and TV scoreboard overlay is visible; verify full cross-leg kicking sequence before pass."
vdcr_archive_b03_000033,Exocytosis,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000033.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000033/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"ASL/sign-language term video, not a cell exocytosis dynamic process."
vdcr_archive_b03_000030,Endocytosis,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000030.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000030/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"ASL/sign-language term video, not a cell endocytosis dynamic process."
vdcr_archive_only_000003,Rayleigh-Taylor Instability,media/vdcr_raw_pilot_v1/vdcr_archive_only_000003.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_only_000003/contact_sheet.jpg,revise,text_overlay_answer_risk,0,15,"Scientific visualization is relevant, but labels/colorbar and likely answer text are visible; use only if cropped/blurred or replaced."
vdcr_archive_b03_000032,Endocytosis,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000032.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000032/contact_sheet.jpg,pass_candidate,ready_for_license_check,0,16,"NIH microscopy footage; dynamic uptake/vesicle process is visible; only scale bar and timestamp overlays, no answer text."
vdcr_archive_b02_000048,Murmuration,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000048.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000048/contact_sheet.jpg,review,manual_temporal_check,0,17,"Clean footage with no obvious text leakage; bird flock is small, so verify that temporal flocking/swirl pattern is visible enough for VDCR."
vdcr_archive_b03_000035,Exocytosis,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000035.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000035/contact_sheet.jpg,pass_candidate,ready_for_license_check,0,20,"NIH microscopy footage; regulated exocytosis/granule release dynamics are visible; only scale bar and timestamp overlays, no answer text."
vdcr_archive_only_000025,Dzhanibekov Effect / Tennis Racket Theorem,media/vdcr_raw_pilot_v1/vdcr_archive_only_000025.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_only_000025/contact_sheet.jpg,revise,trim_intro_text_leak,5,34,"Dynamic mechanism appears relevant, but the opening title directly reveals The Dzhanibekov Effect; trim intro and re-check for remaining text."
vdcr_archive_b02_000052,Elastico / Flip Flap,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000052.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000052/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"Search matched Portuguese/Spanish 'elastic' flexibility performance, not the soccer Elastico / Flip Flap technique."
vdcr_archive_b02_000056,Elastico / Flip Flap,,,reject,wrong_sense_retrieval,0,0,"Search matched Flip Flap and Fly cartoon/song title, not the soccer Elastico / Flip Flap technique."
vdcr_archive_b03_000021,Phototropism,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000021.webm,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000021/contact_sheet.jpg,revise,text_overlay_heavy,0,0,"Plant growth dynamics are relevant, but large explanatory text covers the full clip; use only as source lead, not as benchmark sample."
vdcr_archive_b02_000010,Briggs-Rauscher Reaction,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000010.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000010/contact_sheet.jpg,revise,trim_setup_text_overlay,30,60,"Reaction dynamics appear relevant; first half has reagent overlay labels, so prefer later color-oscillation segment and re-check leakage."
vdcr_archive_b03_000057,Fire-Whirl Vortex Formation,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000057.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000057/contact_sheet.jpg,revise,text_overlay_heavy,0,0,"Fire-whirl vortex formation is visually clear, but news captions, credits, and watermarks are heavy; seek raw/no-overlay footage or crop if possible."
vdcr_archive_b03_000028,Cytoplasmic Streaming,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000028.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000028/contact_sheet.jpg,review,object_label_overlay,0,134,"Amoeba movement and internal streaming are visible, but labels such as Amoeba/pseudopodia/contractile vacuoles give strong biological cues; needs stricter leakage review."
vdcr_archive_b04_000009,Damped Oscillation,media/vdcr_raw_pilot_v1/vdcr_archive_b04_000009.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b04_000009/contact_sheet.jpg,reject,lecture_video_not_process,0,0,Lecture/whiteboard explanation rather than a clean phenomenon video; formulas and website text are visible.
vdcr_archive_b04_000014,Double Pendulum Chaos,media/vdcr_raw_pilot_v1/vdcr_archive_b04_000014.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b04_000014/contact_sheet.jpg,revise,trim_intro_text_leak,3,145,"Dynamic process is strong, but opening title directly says Chaotic Behavior / Double Pendulum; trim initial title and re-check."
vdcr_archive_only_000025_seg_005000_034000,Dzhanibekov Effect / Tennis Racket Theorem,media/vdcr_segments_pilot_v1/vdcr_archive_only_000025_seg_005000_034000.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_only_000025_seg_005000_034000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,29,Trimmed segment removes the opening title; visible object undergoes intermediate-axis flip dynamics without answer text.
