id,direct_url,page_url,title,mime,duration_sec,candidate_knowledge_point,concept_zh,domain_zh,subdomain_zh,priority,source_csv
vdcr_archive_b02_000078,https://archive.org/download/acidplanet-audio-01101032/01101032.ogv,https://archive.org/details/acidplanet-audio-01101032,rabona,video/ogg,3.0,Rabona,插花脚,生命过程机制,球类专项动作与战术序列,A,data/vdcr_candidate_videos_archive_batch02_v1.csv
vdcr_archive_only_000003,https://archive.org/download/SVS-39/a000039.ogv,https://archive.org/details/SVS-39,Rayleigh-Taylor Instabilities in Supernovae Explosions: Density,video/ogg,15.0,Rayleigh-Taylor Instability,瑞利-泰勒不稳定性,自然物理规律,流体不稳定性与涡动力学,A,data/vdcr_candidate_videos_archive_only_v1.csv
vdcr_archive_b03_000032,https://archive.org/download/yt_0sclkA3hoMk/0sclkA3hoMk.mp4,https://archive.org/details/yt_0sclkA3hoMk,National Institutes of Health (NIH) - #NIDCR: Endocytosis (YouTube),video/mp4,16.4,Endocytosis,胞吞作用,生命过程机制,细胞膜与囊泡运输,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b02_000048,https://archive.org/download/dscn-3699/DSCN3699.mp4,https://archive.org/details/dscn-3699,Small murmuration,video/mp4,17.1,Murmuration,鸟群群舞,生命过程机制,动物运动机制与生态策略,A,data/vdcr_candidate_videos_archive_batch02_v1.csv
vdcr_archive_b03_000035,https://archive.org/download/yt_pCpgtHum0oA/pCpgtHum0oA.mp4,https://archive.org/details/yt_pCpgtHum0oA,National Institutes of Health (NIH) - #NIDCR: Actin During Regulated Exocytosis in a Salivary Acinar Cell (YouTube),video/mp4,19.9,Exocytosis,胞吐作用,生命过程机制,细胞膜与囊泡运输,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b03_000021,https://archive.org/download/youtube-iIhEhlRv9H4/iIhEhlRv9H4.webm,https://archive.org/details/youtube-iIhEhlRv9H4,Plants kaise pata karte hain ki sunlight kahan hai ?,video/webm,59.2,Phototropism,向光性,生命过程机制,植物趋性、感性与快速运动,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b02_000010,https://archive.org/download/youtube-VjPQA8aXE_M/VjPQA8aXE_M.mp4,https://archive.org/details/youtube-VjPQA8aXE_M,This reaction is hard to find (Briggs-Rauscher),video/mp4,59.9,Briggs-Rauscher Reaction,布里格斯-劳舍尔振荡反应,物质变化机制,反应动力学与振荡反应,A,data/vdcr_candidate_videos_archive_batch02_v1.csv
vdcr_archive_b03_000057,https://archive.org/download/B.C.FirefighterCapturesVideoOfFireWhirl/B.C.%20firefighter%20captures%20video%20of%20fire%20whirl-.ogv,https://archive.org/details/B.C.FirefighterCapturesVideoOfFireWhirl,B. C. Firefighter Captures Video Of Fire Whirl,video/ogg,60.9,Fire Whirl,火旋风,地球环境过程,野火与烟羽动力学,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b03_000028,https://archive.org/download/ccpamd-amoeba/amoeba.mp4,https://archive.org/details/ccpamd-amoeba,amoeba,video/mp4,134.1,Cytoplasmic Streaming,细胞质流动,生命过程机制,细胞运动与显微动态,A,data/vdcr_candidate_videos_archive_batch03_v1.csv
vdcr_archive_b04_000009,https://archive.org/download/MagnetOscillatingNearACoilWillItBeADamptedOscillation2Answer/Magnet%20oscillating%20near%20a%20coil%20will%20it%20be%20a%20dampted%20Oscillation%201%20Question.ogv,https://archive.org/details/MagnetOscillatingNearACoilWillItBeADamptedOscillation2Answer,Magnet Oscillating Near A Coil Will It Be A Dampted Oscillation 2 Answer,video/ogg,93.1,Damped Oscillation,阻尼振荡,自然物理规律,波动、振动与非线性动力学,B,data/vdcr_candidate_videos_archive_batch04_v1.csv
vdcr_archive_b04_000014,https://archive.org/download/DoublePendulum/DoublePendulum_512kb.mp4,https://archive.org/details/DoublePendulum,Double Pendulum,video/mp4,144.6,Double Pendulum Chaos,双摆混沌,自然物理规律,波动、振动与非线性动力学,B,data/vdcr_candidate_videos_archive_batch04_v1.csv
