candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,collector_notes,quality_score,quality_flags,quality_decision
candidate_000035,https://commons.wikimedia.org/wiki/File:Time-Lapse.ogv,wikimedia_commons,CC BY-SA 3.0; Creative Commons Attribution-Share Alike 3.0; artist metadata present,26.0,0.0,26.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,auto_collected; commons_title=File:Time-Lapse.ogv; category=Category:Time-lapse videos of ice; Good source for phase-change candidates.,10,auto_evidence_requires_review,manual_review
candidate_000036,https://commons.wikimedia.org/wiki/File:Timelapse-crystal.ogv,wikimedia_commons,CC BY 3.0 at; Creative Commons Attribution 3.0 at; artist metadata present,17.1,0.0,17.1,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,auto_collected; commons_title=File:Timelapse-crystal.ogv; category=Category:Time-lapse videos of ice; Good source for phase-change candidates.,10,auto_evidence_requires_review,manual_review
candidate_000037,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,wikimedia_commons,GFDL 1.2; GNU Free Documentation License 1.2; artist metadata present,35.0,0.0,35.0,biology_life_processes,Plant shoots can grow toward a light source.,Collected from Category:Videos of phototropism; requires review for visible temporal evidence.,auto_collected; commons_title=File:Sunflower Flower Opening Time Lapse 320x240.ogv; category=Category:Videos of phototropism; Strong biology dynamic-process category.,10,auto_evidence_requires_review,manual_review
candidate_000038,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse.ogv,wikimedia_commons,GFDL 1.2; GNU Free Documentation License 1.2; artist metadata present,35.0,0.0,35.0,biology_life_processes,Plant shoots can grow toward a light source.,Collected from Category:Videos of phototropism; requires review for visible temporal evidence.,auto_collected; commons_title=File:Sunflower Flower Opening Time Lapse.ogv; category=Category:Videos of phototropism; Strong biology dynamic-process category.,10,auto_evidence_requires_review,manual_review
candidate_000040,https://commons.wikimedia.org/wiki/File:20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,wikimedia_commons,CC BY-SA 4.0; Creative Commons Attribution-Share Alike 4.0; artist metadata present,50.8,0.0,50.8,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,auto_collected; commons_title=File:20. Валтенхофеново правило.ogv; category=Category:Videos of pendulums; Useful mechanics candidates.,10,auto_evidence_requires_review,manual_review
candidate_000048,https://commons.wikimedia.org/wiki/File:MagneticPendulum_VariableFriction.ogv,wikimedia_commons,CC BY 3.0; Creative Commons Attribution 3.0; artist metadata present,6.4,0.0,6.4,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,auto_collected; commons_title=File:MagneticPendulum VariableFriction.ogv; category=Category:Videos of pendulums; Useful mechanics candidates.,10,auto_evidence_requires_review,manual_review
candidate_000052,https://commons.wikimedia.org/wiki/File:Bezoek_aan_een_dames_biljart_club-512468.ogv,wikimedia_commons,CC BY-SA 3.0 nl; Creative Commons Attribution-Share Alike 3.0 nl; artist metadata present,72.7,0.0,30.0,physics_mechanics,Collisions transfer momentum between objects.,Collected from Category:Videos of billiards; requires review for visible temporal evidence.,auto_collected; commons_title=File:Bezoek aan een dames biljart club-512468.ogv; category=Category:Videos of billiards; Collision candidates; may need short clips.,10,auto_evidence_requires_review,manual_review
candidate_000058,https://commons.wikimedia.org/wiki/File:De_2e_voetballoze_zondag_Weeknummer_61-06_-_Open_Beelden_-_49287.ogv,wikimedia_commons,CC BY-SA 3.0 nl; Creative Commons Attribution-Share Alike 3.0 nl; artist metadata present,61.5,0.0,30.0,physics_mechanics,Collisions transfer momentum between objects.,Collected from Category:Videos of billiards; requires review for visible temporal evidence.,auto_collected; commons_title=File:De 2e voetballoze zondag Weeknummer 61-06 - Open Beelden - 49287.ogv; category=Category:Videos of billiards; Collision candidates; may need short clips.,10,auto_evidence_requires_review,manual_review
candidate_000104,https://commons.wikimedia.org/wiki/File:365_days_tree.ogv,wikimedia_commons,CC BY-SA 3.0; Creative Commons Attribution-Share Alike 3.0; artist metadata present,18.2,0.0,18.2,biology_life_processes,Seed germination involves root and shoot emergence.,Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,auto_collected; commons_title=File:365 days tree.ogv; category=Category:Time-lapse videos of plants; Good time-lapse biology candidates.,10,auto_evidence_requires_review,manual_review
candidate_000107,https://commons.wikimedia.org/wiki/File:Apex_reorientation_in_Pinus_pinaster_during_the_first_24h_after_plant_inclination_-_1471-2229-10-217-S1.ogv,wikimedia_commons,CC BY 2.0; Creative Commons Attribution 2.0; artist metadata present,24.0,0.0,24.0,biology_life_processes,Seed germination involves root and shoot emergence.,Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,auto_collected; commons_title=File:Apex reorientation in Pinus pinaster during the first 24h after plant inclination - 1471-2229-10-217-S1.ogv; category=Category:Time-lapse videos of plants; Good time-lapse biology candidates.,10,auto_evidence_requires_review,manual_review
candidate_000112,https://commons.wikimedia.org/wiki/File:Carnivorous_Plant_Time_Lapse_(Drosera_Capensis)_%22eating%22_a_Fruit_Fly.ogv,wikimedia_commons,CC BY-SA 2.0; Creative Commons Attribution-Share Alike 2.0; artist metadata present,16.6,0.0,16.6,biology_life_processes,Seed germination involves root and shoot emergence.,Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,"auto_collected; commons_title=File:Carnivorous Plant Time Lapse (Drosera Capensis) ""eating"" a Fruit Fly.ogv; category=Category:Time-lapse videos of plants; Good time-lapse biology candidates.",10,auto_evidence_requires_review,manual_review
candidate_000122,https://commons.wikimedia.org/wiki/File:54._%D0%9C%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%BD%D0%BE_%D0%BF%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B0%D0%B2_%D1%81%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA.ogg,wikimedia_commons,CC BY-SA 4.0; Creative Commons Attribution-Share Alike 4.0; artist metadata present,34.0,0.0,34.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,auto_collected; commons_title=File:54. Магнетно поле на прав спроводник.ogg; category=Category:Videos of magnetic fields; May not exist; use if found.,10,auto_evidence_requires_review,manual_review
candidate_000023,https://commons.wikimedia.org/wiki/File:Corona.Candle.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,21.0,0.0,21.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,The flame motion responds to airflow from singing over time.,Weak mapping; likely reject unless taxonomy adds airflow visualization.,0,noisy_collection_notes,manual_review
