candidate_id,source_url,source_platform,license_or_usage_note,domain,subdomain,capability_label,dynamic_concept_id,dynamic_concept,linked_principle_id,principle_id,principle,required_dynamic_signature,acceptable_video_types,reject_conditions,hard_negative_family,visible_dynamic_process,dynamic_signature_match,source_page_support_level,source_page_mechanism_evidence,source_double_check_decision,source_double_check_reason,source_page_context,review_decision,gate_reason,risk_tags,proposed_knowledge_point,proposed_knowledge_point_type,answerability_notes,distractor_requirements,frame_contact_sheet,local_media,is_new_source,source_reuse_status
,,,,biology_living_systems,animal_locomotion_and_biomechanics,DMR,,,BIO_LOC_001,BIO_LOC_001,Jet propulsion follows momentum conservation: expelled fluid creates opposite reaction thrust.,"Body cavity or bell contracts, then the body translates in the opposite direction of expelled fluid.",jellyfish propulsion; squid jet propulsion; scallop jet movement,Reject swimming clips without contraction-pulse displacement.,peristalsis; flapping lift; tail undulation,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Jet propulsion follows momentum conservation: expelled fluid creates opposite reaction thrust.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: peristalsis; flapping lift; tail undulation",,,true,new_candidate_source
,,,,biology_living_systems,animal_locomotion_and_biomechanics,DMR,,,BIO_LOC_001,BIO_LOC_001,Jet propulsion follows momentum conservation: expelled fluid creates opposite reaction thrust.,"Body cavity or bell contracts, then the body translates in the opposite direction of expelled fluid.",jellyfish propulsion; squid jet propulsion; scallop jet movement,Reject swimming clips without contraction-pulse displacement.,peristalsis; flapping lift; tail undulation,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Jet propulsion follows momentum conservation: expelled fluid creates opposite reaction thrust.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: peristalsis; flapping lift; tail undulation",,,true,new_candidate_source
,,,,biology_living_systems,animal_locomotion_and_biomechanics,DCR,DCR_BIO_JET_001,jet propulsion swimming,BIO_LOC_001,BIO_LOC_001,Jet propulsion follows momentum conservation: expelled fluid creates opposite reaction thrust.,A bell or mantle contracts and the body moves opposite the expelled fluid.,jellyfish propulsion; squid jet propulsion; scallop jet movement,Reject swimming clips without visible contraction-pulse displacement.,flapping lift; undulation; crawling,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,jet propulsion swimming,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: flapping lift; undulation; crawling",,,true,new_candidate_source
,,,,biology_living_systems,germination_and_development,DMR,,,BIO_CELL_001,BIO_CELL_001,Mitotic spindle dynamics separate chromosomes into daughter cells.,Chromosomes align at the metaphase plate and move toward opposite poles.,live-cell mitosis microscopy; chromosome segregation,Reject static mitosis-stage diagrams and clips without chromosome movement.,cytokinesis only; cell migration; diffusion,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Mitotic spindle dynamics separate chromosomes into daughter cells.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: cytokinesis only; cell migration; diffusion",,,true,new_candidate_source
,,,,biology_living_systems,germination_and_development,DMR,,,BIO_CELL_001,BIO_CELL_001,Mitotic spindle dynamics separate chromosomes into daughter cells.,Chromosomes align at the metaphase plate and move toward opposite poles.,live-cell mitosis microscopy; chromosome segregation,Reject static mitosis-stage diagrams and clips without chromosome movement.,cytokinesis only; cell migration; diffusion,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Mitotic spindle dynamics separate chromosomes into daughter cells.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: cytokinesis only; cell migration; diffusion",,,true,new_candidate_source
,,,,biology_living_systems,germination_and_development,DCR,DCR_BIO_MITOSIS_001,mitosis,BIO_CELL_001,BIO_CELL_001,Mitotic spindle dynamics separate chromosomes into daughter cells.,"Chromosomes align, separate, and move to opposite poles.",live-cell mitosis microscopy; chromosome segregation,Reject static diagrams or clips without chromosome movement.,cytokinesis only; cell migration; apoptosis,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,mitosis,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: cytokinesis only; cell migration; apoptosis",,,true,new_candidate_source
,,,,biology_living_systems,organism_behavior_and_taxis,DMR,,,BIO_CELL_003,BIO_CELL_003,Actin polymerization and adhesion cycles drive crawling cell migration.,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",immune cell migration; amoeboid motion; wound-healing migration,Reject random cell shape changes without net displacement.,Brownian motion; ciliary swimming; mitosis,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Actin polymerization and adhesion cycles drive crawling cell migration.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: Brownian motion; ciliary swimming; mitosis",,,true,new_candidate_source
,,,,biology_living_systems,organism_behavior_and_taxis,DMR,,,BIO_CELL_003,BIO_CELL_003,Actin polymerization and adhesion cycles drive crawling cell migration.,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",immune cell migration; amoeboid motion; wound-healing migration,Reject random cell shape changes without net displacement.,Brownian motion; ciliary swimming; mitosis,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Actin polymerization and adhesion cycles drive crawling cell migration.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: Brownian motion; ciliary swimming; mitosis",,,true,new_candidate_source
,,,,biology_living_systems,organism_behavior_and_taxis,DCR,DCR_BIO_DISPLAY_001,courtship display,BIO_TAX_004,BIO_TAX_004,Run-and-tumble or Levy-like search alternates runs and turns to explore space.,The animal performs a repeated display sequence toward a potential mate or rival.,bacterial run and tumble; Levy walk microbes; trajectory overlay,Reject generic walking or flight without display context and sequence.,foraging; locomotion; aggression display,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,courtship display,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: foraging; locomotion; aggression display",,,true,new_candidate_source
,,,,biology_living_systems,plant_growth_and_tropisms,DMR,,,BIO_ENE_001,BIO_ENE_001,Photosynthetic light reactions release oxygen when illuminated.,Oxygen bubbles increase after light exposure or light intensity changes.,aquatic plant oxygen bubbles; photosynthesis light intensity demos,Reject generic plant growth videos or final gas collection only.,respiration CO2; boiling; gas evolution chemistry,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Photosynthetic light reactions release oxygen when illuminated.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: respiration CO2; boiling; gas evolution chemistry",,,true,new_candidate_source
,,,,biology_living_systems,plant_growth_and_tropisms,DMR,,,BIO_ENE_001,BIO_ENE_001,Photosynthetic light reactions release oxygen when illuminated.,Oxygen bubbles increase after light exposure or light intensity changes.,aquatic plant oxygen bubbles; photosynthesis light intensity demos,Reject generic plant growth videos or final gas collection only.,respiration CO2; boiling; gas evolution chemistry,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Photosynthetic light reactions release oxygen when illuminated.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: respiration CO2; boiling; gas evolution chemistry",,,true,new_candidate_source
,,,,biology_living_systems,plant_growth_and_tropisms,DCR,DCR_BIO_GRAVI_001,gravitropism,BIO_TRO_002,BIO_TRO_002,Gravitropism redirects root or shoot growth relative to gravity after reorientation.,Roots or shoots curve after the plant is rotated.,root gravitropism time lapse; shoot gravitropism,Reject clips without a rotation/reorientation event.,phototropism; hydrotropism; simple elongation,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,gravitropism,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: phototropism; hydrotropism; simple elongation",,,true,new_candidate_source
,,,,biology_living_systems,plant_nastic_movements,DMR,,,BIO_NAS_001,BIO_NAS_001,Thigmonasty converts touch stimulation into rapid leaf or trap movement.,Touch is followed by rapid closure or bending independent of stimulus direction.,Mimosa folding; Venus flytrap closure; Drosera tentacle movement,Reject closed-only/open-only frames or clips where touch is not visible.,thigmotropism; phototropism; wilting,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Thigmonasty converts touch stimulation into rapid leaf or trap movement.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: thigmotropism; phototropism; wilting",,,true,new_candidate_source
,,,,biology_living_systems,plant_nastic_movements,DMR,,,BIO_NAS_001,BIO_NAS_001,Thigmonasty converts touch stimulation into rapid leaf or trap movement.,Touch is followed by rapid closure or bending independent of stimulus direction.,Mimosa folding; Venus flytrap closure; Drosera tentacle movement,Reject closed-only/open-only frames or clips where touch is not visible.,thigmotropism; phototropism; wilting,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Thigmonasty converts touch stimulation into rapid leaf or trap movement.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: thigmotropism; phototropism; wilting",,,true,new_candidate_source
,,,,biology_living_systems,plant_water_relations_and_turgor,DMR,,,BIO_TRA_001,BIO_TRA_001,"Osmosis changes plant-cell volume, causing plasmolysis and deplasmolysis.",Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,onion plasmolysis microscopy; Elodea plasmolysis,Reject single final plasmolyzed images or label-only school videos.,cytoplasmic streaming; stomata; diffusion in water,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,"Osmosis changes plant-cell volume, causing plasmolysis and deplasmolysis.",transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: cytoplasmic streaming; stomata; diffusion in water",,,true,new_candidate_source
,,,,biology_living_systems,plant_water_relations_and_turgor,DMR,,,BIO_TRA_001,BIO_TRA_001,"Osmosis changes plant-cell volume, causing plasmolysis and deplasmolysis.",Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,onion plasmolysis microscopy; Elodea plasmolysis,Reject single final plasmolyzed images or label-only school videos.,cytoplasmic streaming; stomata; diffusion in water,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,"Osmosis changes plant-cell volume, causing plasmolysis and deplasmolysis.",transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: cytoplasmic streaming; stomata; diffusion in water",,,true,new_candidate_source
,,,,biology_living_systems,plant_water_relations_and_turgor,DCR,DCR_BIO_PLASM_001,plasmolysis and deplasmolysis,BIO_TRA_001,BIO_TRA_001,"Osmosis changes plant-cell volume, causing plasmolysis and deplasmolysis.",The protoplast shrinks away from the cell wall and may recover in water.,onion plasmolysis microscopy; Elodea plasmolysis,Reject single final plasmolyzed images or label-only clips.,cytoplasmic streaming; cell division; diffusion dye,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,plasmolysis and deplasmolysis,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: cytoplasmic streaming; cell division; diffusion dye",,,true,new_candidate_source
,,,,chemistry_materials_change,diffusion_mixing_and_transport,DMR,,,CHM_DIF_001,CHM_DIF_001,Concentration gradients drive molecular diffusion and spreading.,Dye or solute front broadens from high concentration to low concentration.,dye diffusion; gel diffusion; microfluidic diffusion,Reject turbulent stirring when diffusion cannot be separated.,vortex mixing; precipitation; convection,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Concentration gradients drive molecular diffusion and spreading.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: vortex mixing; precipitation; convection",,,true,new_candidate_source
,,,,chemistry_materials_change,diffusion_mixing_and_transport,DMR,,,CHM_DIF_001,CHM_DIF_001,Concentration gradients drive molecular diffusion and spreading.,Dye or solute front broadens from high concentration to low concentration.,dye diffusion; gel diffusion; microfluidic diffusion,Reject turbulent stirring when diffusion cannot be separated.,vortex mixing; precipitation; convection,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Concentration gradients drive molecular diffusion and spreading.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: vortex mixing; precipitation; convection",,,true,new_candidate_source
,,,,chemistry_materials_change,diffusion_mixing_and_transport,DCR,DCR_CHEM_DIFF_001,Taylor-Couette laminar mixing,CHM_DIF_002,CHM_DIF_002,"Laminar shear stretches and folds fluids, increasing interface without turbulence.",Colored bands elongate into layers and may reverse when shear is reversed.,Taylor-Couette; reversible laminar mixing; viscous mixing demos,Reject simple shaking or turbulent mixing clips.,turbulent mixing; diffusion only; precipitation,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,Taylor-Couette laminar mixing,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: turbulent mixing; diffusion only; precipitation",,,true,new_candidate_source
