principle_id,domain,subdomain,principle,required_dynamic_signature,acceptable_video_types,reject_conditions,query_seed,hard_negative_family,priority
PHY_FOR_001,physics_physical_systems,motion_forces_and_energy,Gravity produces downward acceleration when other forces are small.,Frame-to-frame downward displacement increases or tracked velocity increases during fall.,slow-motion free-fall experiments; tracked falling objects,"Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.",free fall acceleration slow motion|falling object increasing speed video|gravity acceleration experiment video,constant velocity; buoyant rise; projectile horizontal component,core
PHY_FOR_002,physics_physical_systems,motion_forces_and_energy,Projectile motion combines nearly constant horizontal velocity with vertical gravitational acceleration.,The object follows a parabolic arc or tracked trajectory with independent horizontal and vertical components.,projectile demonstrations; ball toss slow motion; tracked motion analysis,Reject clips without visible trajectory or where propulsion continues after launch.,projectile motion parabolic trajectory slow motion|projectile motion tracking video|ball projectile motion experiment,free fall only; powered flight; rolling on ramp,core
PHY_FOR_003,physics_physical_systems,motion_forces_and_energy,Friction dissipates mechanical energy and reduces sliding speed.,Sliding object decelerates until rest or thermal/frictional effects are visible.,sliding block experiments; friction demos with tracked speed,Reject clips that only show a stationary rough surface or a single final rest state.,friction deceleration sliding block experiment|sliding object slows down due to friction video,air drag; elastic collision; rolling without slip,core
PHY_COL_001,physics_physical_systems,collisions_and_momentum,Momentum transfer in contact collisions redistributes velocity and direction.,Pre- and post-impact velocities/directions of colliding bodies visibly change.,billiard balls; carts; Newton cradle with tracked motion,Reject impacts without clear before/after motion or pure text diagrams.,momentum transfer collision slow motion|two cart collision momentum video|Newton cradle momentum transfer video,friction slowing; gravitational fall; fluid drag,core
PHY_COL_002,physics_physical_systems,collisions_and_momentum,"Inelastic collisions dissipate kinetic energy through deformation, heat, sound, or sticking.","Objects deform, stick, fragment, or rebound with lower speed after impact.",clay cart collisions; crash slow motion; deformable impact videos,Reject elastic rebounds with no visible energy loss.,inelastic collision deformation slow motion|clay collision sticking video|crash kinetic energy deformation video,elastic collision; fracture only; free fall,core
PHY_OSC_001,physics_physical_systems,oscillation_rotation_and_vibration,A pendulum exchanges gravitational potential energy and kinetic energy over each swing.,Speed is highest near the bottom and lowest near the turning points over repeated cycles.,pendulum slow motion; tracked pendulum motion,Reject static pendulum images or clips without at least one full swing.,pendulum energy transfer slow motion|pendulum kinetic potential energy video,linear fall; rotating disk; fluid wave,core
PHY_OSC_002,physics_physical_systems,oscillation_rotation_and_vibration,"Damping dissipates oscillator energy, causing amplitude decay over time.",Oscillation amplitude shrinks across cycles.,mass-spring damping; pendulum damping; torsion oscillator,Reject clips where amplitude is externally held constant.,damped oscillation amplitude decay video|damped pendulum time lapse|spring mass damping experiment,resonance growth; chaotic pendulum; constant forced oscillation,core
PHY_OSC_003,physics_physical_systems,oscillation_rotation_and_vibration,Resonance amplifies motion when periodic forcing matches a natural frequency.,Amplitude grows under a repeated external drive near the resonant frequency.,driven pendulum; resonance table; vibrating structure experiments,Reject videos that only show large vibration without a drive-frequency relation.,resonance amplitude growth experiment video|driven oscillator resonance video|mechanical resonance slow motion,damping decay; collision rebound; random vibration,core
PHY_FLU_001,physics_physical_systems,fluids_pressure_and_buoyancy,Bernoulli/Venturi flow couples higher speed through a constriction with lower static pressure.,Manometer/liquid column or pressure indicator changes when flow starts or constriction speed increases.,Venturi tube demos; transparent flow apparatus,Reject videos showing only a pipe shape without flow or pressure response.,Venturi effect manometer video|Bernoulli pressure drop constriction video,capillary rise; buoyancy; siphon,core
PHY_FLU_002,physics_physical_systems,fluids_pressure_and_buoyancy,Buoyancy depends on displaced fluid weight relative to object weight.,"Object sinks, floats, or reaches neutral buoyancy as density/ballast changes.",density columns; ballast demonstrations; float-sink experiments,Reject generic boats moving without density or displacement change.,buoyancy density float sink experiment video|ballast buoyancy demonstration video|neutral buoyancy video,surface tension support; propulsion; pressure-driven flow,core
