candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,collector_notes,quality_score,quality_flags,quality_decision
candidate_000001,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,wikimedia_commons,CC0 listed on file page verify before final use,5.9,0.0,5.9,physics_mechanics,Collisions transfer momentum between objects.,Billiard balls change motion after contact and momentum transfer is visible across time.,Strong seed for collision hard negatives.,35,,priority
candidate_000006,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,33.0,0.0,33.0,chemistry_material_change,Materials can expand unevenly when heated.,The coil bends in response to heating and this deformation is only visible as a process.,High-value seed for thermal expansion difference.,35,,priority
candidate_000003,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,wikimedia_commons,CC BY-SA 4.0 listed on file page verify before final use,17.0,0.0,17.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,The mass moves through coupled oscillations that cannot be inferred from a single frame.,May be more about coupled oscillation than basic pendulum energy.,20,,priority
candidate_000004,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,38.0,0.0,12.0,physics_mechanics,Unsupported objects accelerate downward under gravity.,A water drop falls and impacts liquid over time rather than being statically suspended.,Also shows surface tension so final label needs review.,20,,priority
candidate_000007,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,wikimedia_commons,CC BY-SA 3.0 listed on file page verify before final use,6.0,0.0,6.0,chemistry_material_change,Some chemical reactions produce color change.,The liquid changes color over time after reactants are combined.,Caption may leak exact reaction but visual still useful.,20,,priority
candidate_000009,https://commons.wikimedia.org/wiki/File:103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,wikimedia_commons,CC BY-SA 4.0 listed on file page verify before final use,12.0,0.0,12.0,chemistry_material_change,Combustion requires fuel and oxygen.,Iron wool ignites and burns after being placed in oxygen over time.,May require option wording about oxidation rather than generic combustion.,20,,priority
candidate_000015,https://commons.wikimedia.org/wiki/File:Oxalis_Triangularis_Photonasty_Timelapse.ogv,wikimedia_commons,CC BY-SA 3.0 and GFDL listed on file page verify before final use,5.7,0.0,5.7,biology_life_processes,Some organisms move toward or away from light.,Leaves open or close over a time lapse in response to light level change.,Actually photonasty not phototropism so taxonomy may need a plant movement subtype.,20,,priority
candidate_000019,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,wikimedia_commons,YouTube CC license listed on file page verify before final use,17.0,0.0,17.0,everyday_causal_mechanisms,Pressure differences can move fluids.,Water rises after the candle is covered showing fluid motion driven by pressure change.,Risk of title leakage in metadata but task input can hide title.,20,,priority
candidate_000020,https://commons.wikimedia.org/wiki/File:Kerzenflamme_im_plattenkondensator.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,35.0,0.0,35.0,everyday_causal_mechanisms,Pressure differences can move fluids.,The candle flame deforms dynamically when the electric field changes.,Actually plasma in electric field not in current taxonomy; use for possible extension only.,20,,priority
candidate_000028,https://commons.wikimedia.org/wiki/File:Candle_and_Match.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,25.0,0.0,25.0,chemistry_material_change,Combustion requires fuel and oxygen.,The match ignites the candle and the flame persists over time.,Single-frame may suffice for combustion so likely hard filter.,20,,priority
