domain,subdomain,knowledge_point
physics_physical_systems,motion_forces_and_energy,Gravity produces downward acceleration when other forces are small.
physics_physical_systems,motion_forces_and_energy,Projectile motion combines nearly constant horizontal velocity with vertical gravitational acceleration.
physics_physical_systems,motion_forces_and_energy,Friction dissipates mechanical energy and reduces sliding speed.
physics_physical_systems,collisions_and_momentum,Momentum transfer in contact collisions redistributes velocity and direction.
physics_physical_systems,collisions_and_momentum,"Inelastic collisions dissipate kinetic energy through deformation, heat, sound, or sticking."
physics_physical_systems,oscillation_rotation_and_vibration,A pendulum exchanges gravitational potential energy and kinetic energy over each swing.
physics_physical_systems,oscillation_rotation_and_vibration,"Damping dissipates oscillator energy, causing amplitude decay over time."
physics_physical_systems,oscillation_rotation_and_vibration,Resonance amplifies motion when periodic forcing matches a natural frequency.
physics_physical_systems,fluids_pressure_and_buoyancy,Bernoulli/Venturi flow couples higher speed through a constriction with lower static pressure.
physics_physical_systems,fluids_pressure_and_buoyancy,Buoyancy depends on displaced fluid weight relative to object weight.
physics_physical_systems,fluids_pressure_and_buoyancy,Pressure gradients drive siphon or liquid-column flow after priming.
physics_physical_systems,surface_and_capillary_processes,"Surface tension minimizes liquid surface area, driving droplets to retract and round."
physics_physical_systems,surface_and_capillary_processes,Capillary action draws wetting liquids through narrow pores or tubes.
physics_physical_systems,surface_and_capillary_processes,Wetting transitions occur when adhesion overcomes nonwetting surface forces.
physics_physical_systems,thermal_physical_response,Differential thermal expansion bends bonded materials when heated.
physics_physical_systems,thermal_physical_response,The Leidenfrost effect forms a vapor layer that delays contact boiling and lets droplets glide.
physics_physical_systems,electromagnetism_and_fields,Magnetic dipoles experience torque that aligns them with an external magnetic field.
physics_physical_systems,electromagnetism_and_fields,"Electric fields exert forces on charged droplets or particles, driving migration or deformation."
chemistry_materials_change,phase_change_and_crystallization,Supersaturation enables nucleation followed by crystal growth.
chemistry_materials_change,phase_change_and_crystallization,Solidification fronts propagate as liquid changes phase into ordered solid.
chemistry_materials_change,redox_and_endpoint_reactions,Iodine-clock kinetics delay starch-iodine color until reductant is depleted.
chemistry_materials_change,redox_and_endpoint_reactions,Reducing sugars reduce copper(II) to copper(I) oxide during Benedict heating.
chemistry_materials_change,redox_and_endpoint_reactions,Redox indicator systems can cycle between colored oxidation states.
chemistry_materials_change,precipitation_and_solubility,Ion mixing can exceed solubility product and produce an insoluble solid.
chemistry_materials_change,precipitation_and_solubility,Local supersaturation at a reaction interface creates precipitate bands or membranes.
chemistry_materials_change,gas_evolution_and_combustion,Gas-evolution reactions generate bubbles as products leave solution.
chemistry_materials_change,gas_evolution_and_combustion,"Combustion requires fuel, oxidizer, and heat; removing one extinguishes flame."
chemistry_materials_change,diffusion_mixing_and_transport,Concentration gradients drive molecular diffusion and spreading.
chemistry_materials_change,diffusion_mixing_and_transport,"Laminar shear stretches and folds fluids, increasing interface without turbulence."
chemistry_materials_change,material_deformation_and_response,Shear-thickening suspensions resist rapid stress while flowing under slow stress.
chemistry_materials_change,material_deformation_and_response,"Heating can soften or melt material, reducing strength and enabling deformation."
biology_living_systems,germination_and_development,Mitotic spindle dynamics separate chromosomes into daughter cells.
biology_living_systems,germination_and_development,Cytokinesis completes division through progressive contractile-ring constriction.
biology_living_systems,organism_behavior_and_taxis,Actin polymerization and adhesion cycles drive crawling cell migration.
biology_living_systems,plant_water_relations_and_turgor,"Osmosis changes plant-cell volume, causing plasmolysis and deplasmolysis."
biology_living_systems,plant_water_relations_and_turgor,Guard-cell turgor changes open and close stomatal pores.
biology_living_systems,plant_water_relations_and_turgor,Cytoplasmic streaming moves organelles along cytoskeletal tracks inside plant cells.
biology_living_systems,plant_growth_and_tropisms,Photosynthetic light reactions release oxygen when illuminated.
biology_living_systems,germination_and_development,Cellular respiration consumes oxygen and releases carbon dioxide during metabolism.
biology_living_systems,germination_and_development,Embryogenesis proceeds through repeated cell divisions and coordinated cell migration.
biology_living_systems,germination_and_development,Seed germination starts with water uptake and radicle emergence before shoot development.
biology_living_systems,plant_growth_and_tropisms,Phototropism bends shoots through differential growth toward directional light.
biology_living_systems,plant_growth_and_tropisms,Gravitropism redirects root or shoot growth relative to gravity after reorientation.
biology_living_systems,plant_growth_and_tropisms,Hydrotropism biases root growth toward water gradients.
biology_living_systems,plant_nastic_movements,Thigmonasty converts touch stimulation into rapid leaf or trap movement.
biology_living_systems,plant_nastic_movements,Nyctinasty changes leaf posture across light-dark cycles via turgor or growth rhythms.
biology_living_systems,animal_locomotion_and_biomechanics,Jet propulsion follows momentum conservation: expelled fluid creates opposite reaction thrust.
biology_living_systems,animal_locomotion_and_biomechanics,Peristaltic locomotion uses contraction waves plus alternating anchors to move soft bodies.
biology_living_systems,animal_locomotion_and_biomechanics,Flapping wings generate lift and thrust by accelerating air downward/backward.
biology_living_systems,animal_locomotion_and_biomechanics,Fast-start swimming converts body curvature into hydrodynamic reaction forces and acceleration.
biology_living_systems,organism_behavior_and_taxis,Chemotaxis biases movement direction along chemical concentration gradients.
biology_living_systems,organism_behavior_and_taxis,Phototaxis biases movement relative to light direction or intensity.
biology_living_systems,organism_behavior_and_taxis,Magnetotaxis aligns motile cells with a magnetic field through magnetic torque.
biology_living_systems,organism_behavior_and_taxis,Run-and-tumble or Levy-like search alternates runs and turns to explore space.
earth_environmental_systems,weather_and_atmospheric_dynamics,"Moist convection lifts air, cools it, and forms growing cloud towers."
