candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,collector_notes,source_csv
vdcr_commons_mr20_000001,https://commons.wikimedia.org/wiki/File:Magnus_effect.gif,Wikimedia Commons,CC BY-SA 4.0 Commons GIF,10.0,0,10,vdcr_round20_manual,Magnus Effect,physics_physical_systems,流体不稳定性与涡动力学,"Requires seeing a spinning body deflect through/with surrounding flow, not a static disk.",New strict candidate from Commons Magnus-effect GIF; simulation may be acceptable if temporal deflection/flow is clear.,manual_round20
vdcr_commons_mr20_000002,https://commons.wikimedia.org/wiki/File:Hydrogel_micropump.webm,Wikimedia Commons,CC BY 4.0 Commons scientific video,5.8,0,5.8,vdcr_round20_manual,Gel Swelling,chemistry_materials_change,凝胶、聚合物与软物质,"Requires seeing a hydrogel element deform or expand/contract over time under stimulus.",Potential strict soft-matter candidate; may reject if the mechanism is micropump actuation rather than clear gel swelling.,manual_round20
vdcr_commons_mr20_000003,https://commons.wikimedia.org/wiki/File:Crystal_growth.webm,Wikimedia Commons,CC BY 4.0 Commons microscopy video,54.7,0,54.7,vdcr_round20_manual,Crystal Nucleation,chemistry_materials_change,晶体生长与相变前沿,"Requires seeing new crystal domains appear and grow over time, not a static crystal field.",Potential strict candidate; may be renamed/rejected if it only shows growth without nucleation onset.,manual_round20
vdcr_commons_mr20_000004,https://commons.wikimedia.org/wiki/File:Natural-Variation-in-Arabidopsis-Cvi-0-Accession-Reveals-an-Important-Role-of-MPK12-in-Guard-Cell-pbio.2000322.s012.ogv,Wikimedia Commons,CC BY 4.0 Commons/PLOS biology video,17.0,0,17.0,vdcr_round20_manual,Stomatal Opening and Closing,biology_living_systems,植物细胞与器官动态响应,"Requires seeing guard-cell aperture changing over time, not merely recognizing a stoma micrograph.",Potential strict microscopy candidate from guard-cell category; must reject if labels/panels leak condition or if motion is too subtle.,manual_round20
vdcr_commons_mr20_000005,https://commons.wikimedia.org/wiki/File:Timelapse_of_Slime_Mould.webm,Wikimedia Commons,Commons license verify on page,64.0,0,64.0,vdcr_round20_manual,Slime Mold Aggregation,biology_living_systems,微生物与群体动力学,"Requires seeing slime-mold mass aggregate or reorganize through time rather than recognizing a static slime mold.",Potential strict biology candidate; must verify whether aggregation dynamics are visible and no text/audio leakage.,manual_round20
vdcr_commons_mr20_000006,https://commons.wikimedia.org/wiki/File:Onset-of-sediment-transport-is-a-continuous-transition-driven-by-fluid-shear-and-granular-creep-ncomms7527-s2.ogv,Wikimedia Commons,CC BY 4.0 Commons/Nature Communications video,30.0,0,30.0,vdcr_round20_manual,Sediment Saltation,earth_environmental_systems,水文、河流与海岸动力学,"Requires seeing grains transported by hopping or intermittent motion under flow, not a static sediment bed.",Potential strict sediment-transport candidate; may reject if it is granular creep rather than saltation.,manual_round20
vdcr_commons_mr20_000007,https://commons.wikimedia.org/wiki/File:Onset-of-sediment-transport-is-a-continuous-transition-driven-by-fluid-shear-and-granular-creep-ncomms7527-s3.ogv,Wikimedia Commons,CC BY 4.0 Commons/Nature Communications video,22.0,0,22.0,vdcr_round20_manual,Sediment Saltation,earth_environmental_systems,水文、河流与海岸动力学,"Requires seeing grains transported by hopping or intermittent motion under flow, not a static sediment bed.",Backup sediment-transport candidate with different stress condition; may reject if not saltation-like.,manual_round20
vdcr_commons_mr20_000008,https://commons.wikimedia.org/wiki/File:Hydraulic-hydrogel-actuators-and-robots-optically-and-sonically-camouflaged-in-water-ncomms14230-s6.ogv,Wikimedia Commons,CC BY 4.0 Commons/Nature Communications video,18.0,0,18.0,vdcr_round20_manual,Gel Swelling,chemistry_materials_change,凝胶、聚合物与软物质,"Requires seeing swelling-driven hydrogel actuation over time rather than a static polymer sample.",Better chemistry strict candidate than the micropump clip because the source describes swelling-driven osmotic actuation.,manual_round20
vdcr_commons_mr20_000009,https://commons.wikimedia.org/wiki/File:Membrane-Blebbing-Is-Required-for-Mesenchymal-Precursor-Migration-pone.0150004.s007.ogv,Wikimedia Commons,CC BY 4.0 Commons/PLOS ONE video,40.0,0,40.0,vdcr_round20_manual,Membrane Blebbing,biology_living_systems,细胞骨架与细胞形变,"Requires observing transient rounded membrane protrusions forming and retracting at a cell edge.",New strict microscopy candidate; must verify bleb dynamics are visible without relying on the title.,manual_round20
vdcr_commons_mr20_000010,https://commons.wikimedia.org/wiki/File:Upward-erosion.ogv,Wikimedia Commons,CC BY-SA 2.5 Commons video,16.0,0,16.0,vdcr_round20_manual,Headward Erosion,earth_environmental_systems,坡面侵蚀与地貌演化,"Requires seeing an erosion head retreat or propagate upstream/backward through a sandy slope.",New strict earth candidate from Commons; likely cleaner than sediment saltation candidates if the retreating erosion head is visible.,manual_round20
