category,initial_category,candidate_knowledge_point,default_start_sec,default_end_sec,notes
Category:Time-lapse videos of ice,chemistry_material_change,A solid can absorb heat and melt into a liquid.,0,30,Good source for phase-change candidates.
Category:Videos of phototropism,biology_life_processes,Plant shoots can grow toward a light source.,0,60,Strong biology dynamic-process category.
Category:Iodine clock reaction,chemistry_material_change,Some chemical reactions produce color change.,0,45,Caption/title may leak but visual process is clear.
Category:Bimetallic strips,chemistry_material_change,Materials can expand unevenly when heated.,0,45,Includes bimetal coil video and related media.
Category:Videos of pendulums,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,0,60,Useful mechanics candidates.
Category:Videos of billiards,physics_mechanics,Collisions transfer momentum between objects.,0,30,Collision candidates; may need short clips.
Category:Videos of oscillation,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,0,60,Broader oscillation category; requires review.
Category:Videos of candles,chemistry_material_change,Combustion requires fuel and oxygen.,0,45,Many are not controlled experiments; filter aggressively.
Category:Videos of burning candles,chemistry_material_change,Combustion requires fuel and oxygen.,0,45,Many ordinary flame videos; filter aggressively.
Category:Capillary action,everyday_causal_mechanisms,Capillary action can pull liquid through narrow gaps.,0,30,Mostly images but may include videos.
Category:Surface tension,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,0,30,Mostly images; STEM videos may be narration-heavy.
Category:Bimetallic Strip Thermometers,chemistry_material_change,Materials can expand unevenly when heated.,0,45,Mostly images/gifs; useful for query expansion.
Category:Videos of chemical reactions,chemistry_material_change,Some chemical reactions produce color change.,0,45,Broad chemistry category.
Category:Videos of plants,biology_life_processes,Seed germination involves root and shoot emergence.,0,60,Broad; likely noisy.
Category:Time-lapse videos of plants,biology_life_processes,Seed germination involves root and shoot emergence.,0,60,Good time-lapse biology candidates.
Category:Videos of fire,everyday_causal_mechanisms,Warm air rises and can drive convection.,0,45,Broad and noisy; check dynamic mechanism.
Category:Videos of filtration,procedural_operational_principles,Filtering separates solids from liquids by particle size.,0,60,May be sparse but valuable.
Category:Videos of density,procedural_operational_principles,Layering fluids can demonstrate density differences.,0,45,May not exist or may be noisy.
Category:Videos of magnetic fields,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,0,45,May not exist; use if found.
Category:Videos of vibrations and waves,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,0,45,Broad physics/everyday mechanism candidates.

