source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,collector_notes
https://commons.wikimedia.org/wiki/File:Dancing_Raisins.webm,wikimedia_commons,CC BY 4.0 listed on Commons page verify before final use,27.8,0.0,27.8,chemistry_material_change,Some mixtures produce gas during chemical reactions.,Raisins repeatedly rise and sink as gas bubbles attach and release over time.,web_curated_v0_7; source=web_search; strong seed; real video; Commons page says CO2 bubbles move raisins.
https://commons.wikimedia.org/wiki/File:Chemical_reactions3.ogv,wikimedia_commons,CC BY-SA 3.0 listed on Commons page verify before final use,108.0,0.0,60.0,chemistry_material_change,Some mixtures produce gas during chemical reactions.,Reactants are combined and visible bubbles or foam develop over time.,web_curated_v0_7; source=web_search; long clip needs segment; verify gas is visually clear.
https://commons.wikimedia.org/wiki/File:Reacci%C3%B3n-del-bicarbonato-con-vinagre.webm,wikimedia_commons,Commons license listed on page verify before final use,39.0,0.0,39.0,chemistry_material_change,Some mixtures produce gas during chemical reactions.,The visual sequence depicts vinegar contacting baking soda and producing gas over time.,web_curated_v0_7; source=web_search; animation_or_simulation stress test; expect filter exclusion.
https://commons.wikimedia.org/wiki/File:Meca_siphon.webm,wikimedia_commons,CC BY-SA 3.0 listed on Commons page verify before final use,44.2,0.0,44.2,everyday_causal_mechanisms,Pressure differences can move fluids.,Liquid moves between containers through a tube over time rather than remaining static.,web_curated_v0_7; source=web_search; high-value; real fluid mechanics demonstration.
https://commons.wikimedia.org/wiki/File:Pleopeltis_polypodioides_water_absorption_timelapse.webm,wikimedia_commons,CC0 listed on Commons page verify before final use,11.0,0.0,11.0,everyday_causal_mechanisms,Porous materials absorb liquid through internal spaces.,A plant surface visibly takes up a water drop during the time lapse.,web_curated_v0_7; source=web_search; good dynamic candidate; verify whether porous absorption or plant water uptake is best.
https://commons.wikimedia.org/wiki/File:Bubble_candle.webm,wikimedia_commons,Attribution-only license listed on Commons page verify before final use,5.6,0.0,5.6,everyday_causal_mechanisms,Warm air rises and can drive convection.,A bubble light candle shows visible fluid motion during heating over time.,web_curated_v0_7; source=web_search; weak mapping; likely manual review.
https://commons.wikimedia.org/wiki/File:Discovery_of_Magnetic_Fields.webm,wikimedia_commons,CC BY 3.0 listed on Commons page verify before final use,67.0,0.0,60.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Material moves and aligns as a magnetic effect is demonstrated across time.,web_curated_v0_7; source=web_search; title names magnetic fields and may have narration or subtitles.
https://commons.wikimedia.org/wiki/File:Steering_an_iron_ball_along_a_circular_path_by_shaping_the_magnetic_field_using_an_array_of_coils.webm,wikimedia_commons,Commons license listed on page verify before final use,27.0,0.0,27.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,An iron ball follows a path as fields are controlled over time.,web_curated_v0_7; source=web_search; title names magnetic field; expect leakage filter exclusion.
https://commons.wikimedia.org/wiki/File:SnakeDetailedCenterofMass.webm,wikimedia_commons,Commons license listed on page verify before final use,19.0,0.0,19.0,everyday_causal_mechanisms,Center of mass affects whether an object tips over.,The body changes balance state over time in a synthetic setup.,web_curated_v0_7; source=web_search; video game synthetic context; expect filter exclusion.
https://commons.wikimedia.org/wiki/File:Flexible_sponge-like_freeze-dried_pedot-PSS-graphene_oxide_composite_foam_for_pressure_sensor_application-srep02296-s2.ogv,wikimedia_commons,Commons license listed on page verify before final use,20.0,0.0,20.0,everyday_causal_mechanisms,Porous materials absorb liquid through internal spaces.,A sponge-like material deforms or interacts with fluid over time.,web_curated_v0_7; source=web_search; specialist_or_paper_context stress test; expect filter exclusion.
