video_id,split,category,knowledge_point,answer,source_url,local_media,duration_sec,single_frame_sufficient,sparse_frames_sufficient,source_grounding_note
dynaknow_000001,pilot_v0_12,physics_mechanics,Collisions transfer momentum between objects.,A,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,media/raw/dynaknow_000001.webm,5.9,no,yes,
dynaknow_000002,pilot_v0_12,chemistry_material_change,Materials can expand unevenly when heated.,B,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,media/raw/dynaknow_000002.ogv,33.0,no,yes,
dynaknow_000003,pilot_v0_12,chemistry_material_change,Persulfate iodine-clock reactions turn dark blue after thiosulfate is depleted and iodine binds starch.,C,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,media/raw/dynaknow_000003.ogv,6.0,no,yes,"Commons summary identifies this as a persulfate iodine-clock reaction: persulfate oxidizes iodide, thiosulfate delays free iodine, and dark blue iodine-starch complex appears after thiosulfate is depleted."
dynaknow_000007,pilot_v0_12,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,D,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,media/raw/dynaknow_000007.webm,9.4,no,yes,
dynaknow_000010,pilot_v0_12,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,media/raw/dynaknow_000010.webm,17.0,no,yes,
dynaknow_000047,pilot_v0_12,physics_mechanics,Collisions transfer momentum between objects.,B,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,media/raw/dynaknow_000047.webm,80.0,no,yes,
dynaknow_000081,pilot_v0_12,procedural_operational_principles,Vibration can cause granular materials to segregate by particle size.,C,https://commons.wikimedia.org/wiki/File:Brazil_nut_effect_demonstration.webm,media/raw/dynaknow_000081.webm,14.0,no,yes,
dynaknow_000083,pilot_v0_12,chemistry_material_change,Benedict's reagent changes color when heated with reducing sugars.,D,https://commons.wikimedia.org/wiki/File:117._%D0%91%D0%B5%D0%BD%D0%B5%D0%B4%D0%B8%D0%BA%D1%82%D0%BE%D0%B2%D0%B0_%D1%80%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D1%98%D0%B0.webm,media/raw/dynaknow_000083.webm,58.0,no,yes,
dynaknow_000084,pilot_v0_12,biology_life_processes,Plant shoots can grow toward a light source.,A,https://commons.wikimedia.org/wiki/File:Growth_of_mung_bean_seedlings.webm,media/raw/dynaknow_000084.webm,32.0,no,yes,
dynaknow_000088,pilot_v0_12,everyday_causal_mechanisms,Pressure differences can move fluids.,B,https://commons.wikimedia.org/wiki/File:Meca_siphon.webm,media/segments/dynaknow_000088.mp4,34.2,no,yes,
dynaknow_000089,pilot_v0_12,everyday_causal_mechanisms,Pressure differences can move fluids.,C,https://commons.wikimedia.org/wiki/File:Siphon.webm,media/raw/dynaknow_000089.webm,40.0,no,yes,
dynaknow_000091,pilot_v0_12,physics_mechanics,Unsupported objects accelerate downward under gravity.,D,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,media/segments/dynaknow_000091.mp4,12.0,no,yes,
dynaknow_000048,pilot_v0_12,physics_mechanics,Buoyancy depends on displaced fluid and object density.,A,https://commons.wikimedia.org/wiki/File:Video_of_RP_FLIP_transitioning_to_vertical_(120630-N-PO203-001).webm,media/raw/dynaknow_000048.webm,78.0,no,yes,
