video_id,domain,subdomain,concept_type,gold_answer,accepted_answers,question,mcq_correct_choice,mcq_correct_choice_text,choice_A,choice_B,choice_C,choice_D,qwen35_2b_direct_output,qwen35_2b_direct_exact_correct,qwen35_2b_direct_judge_equivalent,qwen35_2b_direct_judge_label,qwen35_2b_mcq_output_choice,qwen35_2b_mcq_output_text,qwen35_2b_mcq_correct,qwen35_2b_mcq_parse_status,qwen35_4b_direct_output,qwen35_4b_direct_exact_correct,qwen35_4b_direct_judge_equivalent,qwen35_4b_direct_judge_label,qwen35_4b_mcq_output_choice,qwen35_4b_mcq_output_text,qwen35_4b_mcq_correct,qwen35_4b_mcq_parse_status,qwen35_9b_direct_output,qwen35_9b_direct_exact_correct,qwen35_9b_direct_judge_equivalent,qwen35_9b_direct_judge_label,qwen35_9b_mcq_output_choice,qwen35_9b_mcq_output_text,qwen35_9b_mcq_correct,qwen35_9b_mcq_parse_status,qwen3vl_2b_direct_output,qwen3vl_2b_direct_exact_correct,qwen3vl_2b_direct_judge_equivalent,qwen3vl_2b_direct_judge_label,qwen3vl_2b_mcq_output_choice,qwen3vl_2b_mcq_output_text,qwen3vl_2b_mcq_correct,qwen3vl_2b_mcq_parse_status,qwen3vl_4b_direct_output,qwen3vl_4b_direct_exact_correct,qwen3vl_4b_direct_judge_equivalent,qwen3vl_4b_direct_judge_label,qwen3vl_4b_mcq_output_choice,qwen3vl_4b_mcq_output_text,qwen3vl_4b_mcq_correct,qwen3vl_4b_mcq_parse_status,qwen3vl_8b_direct_output,qwen3vl_8b_direct_exact_correct,qwen3vl_8b_direct_judge_equivalent,qwen3vl_8b_direct_judge_label,qwen3vl_8b_mcq_output_choice,qwen3vl_8b_mcq_output_text,qwen3vl_8b_mcq_correct,qwen3vl_8b_mcq_parse_status
vdcr_000001,biology_living_systems,biology_family_06,自然动态机制,Endocytosis,Endocytosis; 胞吞作用,Which named dynamic concept is instantiated by the temporally evolving process in this video?,A,Endocytosis,Endocytosis,Exocytosis,Cytoplasmic Streaming,Phagocytosis,细胞,False,False,too_generic,B,Exocytosis,False,ok,cell migration,False,False,related_but_wrong,C,Cytoplasmic Streaming,False,ok,Cellular respiration,False,False,wrong,B,Exocytosis,False,ok,Cell migration,False,False,related_but_wrong,C,Cytoplasmic Streaming,False,ok,Neurite outgrowth,False,False,related_but_wrong,D,Phagocytosis,False,ok,细胞迁移,False,False,related_but_wrong,C,Cytoplasmic Streaming,False,ok
vdcr_000002,biology_living_systems,biology_family_06,自然动态机制,Exocytosis,Exocytosis; 胞吐作用,Which named dynamic concept is instantiated by the temporally evolving process in this video?,C,Exocytosis,Endocytosis,Cytoplasmic Streaming,Exocytosis,Phagocytosis,细胞形态,False,False,too_generic,B,Cytoplasmic Streaming,False,ok,cell division,False,False,related_but_wrong,B,Cytoplasmic Streaming,False,ok,Cell division,False,False,related_but_wrong,C,Exocytosis,True,ok,Cell division,False,False,related_but_wrong,B,Cytoplasmic Streaming,False,ok,cell division,False,False,related_but_wrong,D,Phagocytosis,False,ok,细胞分裂,False,False,related_but_wrong,B,Cytoplasmic Streaming,False,ok
vdcr_000003,physics_physical_systems,physics_family_04,自然动态机制,Dzhanibekov Effect / Tennis Racket Theorem,Dzhanibekov Effect / Tennis Racket Theorem; 贾尼别科夫效应/网球拍定理; Dzhanibekov Effect; Tennis Racket Theorem,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Dzhanibekov Effect / Tennis Racket Theorem,Gyroscopic Precession,Dzhanibekov Effect / Tennis Racket Theorem,Brazil Nut Effect,Euler's Disk Motion,water,False,False,wrong,B,Dzhanibekov Effect / Tennis Racket Theorem,True,ok,flying,False,False,wrong,B,Dzhanibekov Effect / Tennis Racket Theorem,True,ok,falling,False,False,too_generic,B,Dzhanibekov Effect / Tennis Racket Theorem,True,ok,Water Flow,False,False,wrong,B,Dzhanibekov Effect / Tennis Racket Theorem,True,ok,Water Flow,False,False,wrong,B,Dzhanibekov Effect / Tennis Racket Theorem,True,ok,水滴,False,False,wrong,B,Dzhanibekov Effect / Tennis Racket Theorem,True,ok
vdcr_000004,chemistry_materials_change,materials_family_03,实验动态图样,Briggs-Rauscher Reaction,Briggs-Rauscher Reaction; 布里格斯-劳舍尔振荡反应,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Briggs-Rauscher Reaction,Belousov-Zhabotinsky Reaction,Blue Bottle Reaction,Iodine Clock Reaction,Briggs-Rauscher Reaction,mixing,False,False,too_generic,B,Blue Bottle Reaction,False,ok,dissolution,False,False,wrong,B,Blue Bottle Reaction,False,ok,Color change,False,False,too_generic,B,Blue Bottle Reaction,False,ok,Chemical reaction,False,False,too_generic,B,Blue Bottle Reaction,False,ok,Color change,False,False,too_generic,B,Blue Bottle Reaction,False,ok,化学反应,False,False,too_generic,D,Briggs-Rauscher Reaction,True,ok
vdcr_000005,physics_physical_systems,physics_family_03,自然动态机制,Double Pendulum Chaos,Double Pendulum Chaos; 双摆混沌,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Double Pendulum Chaos,Dzhanibekov Effect / Tennis Racket Theorem,Double Pendulum Chaos,Coupled Pendulum Synchronization,Faraday Waves,Chaos,False,False,too_generic,B,Double Pendulum Chaos,True,ok,Chaos,False,False,too_generic,B,Double Pendulum Chaos,True,ok,chaotic behavior,False,False,too_generic,B,Double Pendulum Chaos,True,ok,Chaotic Behavior,False,False,too_generic,B,Double Pendulum Chaos,True,ok,Chaotic Behavior,False,False,too_generic,B,Double Pendulum Chaos,True,ok,混沌行为,False,False,too_generic,B,Double Pendulum Chaos,True,ok
vdcr_000006,biology_living_systems,biology_family_01,生态行为策略,Murmuration,Murmuration; 鸟群群舞,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Murmuration,Metachronal Wave Locomotion,Murmuration,C-Start Escape Response,Bubble-Net Feeding,star,False,False,too_generic,B,Murmuration,True,ok,Murmuration,True,False,unclear,B,Murmuration,True,ok,murmuration,True,True,equivalent,B,Murmuration,True,ok,Bird Migration,False,False,related_but_wrong,B,Murmuration,True,ok,Swarm intelligence,False,False,too_generic,B,Murmuration,True,ok,鸟群迁徙,False,False,too_generic,B,Murmuration,True,ok
vdcr_000007,chemistry_materials_change,materials_family_07,自然动态机制,Diffusion Flame,Diffusion Flame; 扩散火焰,Which named dynamic concept is instantiated by the temporally evolving process in this video?,A,Diffusion Flame,Diffusion Flame,Flame Blowoff,Reactive Flame-Front Propagation,Shear Thickening,光,False,False,wrong,C,Reactive Flame-Front Propagation,False,ok,plasma,False,False,wrong,C,Reactive Flame-Front Propagation,False,ok,Flame,False,False,too_generic,C,Reactive Flame-Front Propagation,False,ok,Flame,False,False,too_generic,C,Reactive Flame-Front Propagation,False,ok,Flame,False,False,too_generic,A,Diffusion Flame,True,ok,燃烧,False,False,too_generic,A,Diffusion Flame,True,ok
vdcr_000008,earth_environmental_systems,earth_family_05,自然动态机制,Slab Avalanche Release,Slab Avalanche Release; 板状雪崩释放,Which named dynamic concept is instantiated by the temporally evolving process in this video?,A,Slab Avalanche Release,Slab Avalanche Release,Aa Lava Front Advance,Ice Cliff Calving,Pahoehoe Lava Roping,雪崩,False,False,too_generic,A,Slab Avalanche Release,True,ok,avalanche,False,False,too_generic,A,Slab Avalanche Release,True,ok,Avalanche,False,False,too_generic,A,Slab Avalanche Release,True,ok,Earthquake,False,False,wrong,A,Slab Avalanche Release,True,ok,Avalanche,False,False,too_generic,A,Slab Avalanche Release,True,ok,雪崩,False,False,too_generic,A,Slab Avalanche Release,True,ok
vdcr_000009,chemistry_materials_change,materials_family_03,实验动态图样,Belousov-Zhabotinsky Reaction,Belousov-Zhabotinsky Reaction; 别洛乌索夫-扎鲍廷斯基振荡反应,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Belousov-Zhabotinsky Reaction,Briggs-Rauscher Reaction,Belousov-Zhabotinsky Reaction,Iodine Clock Reaction,Blue Bottle Reaction,混沌,False,False,too_generic,B,Belousov-Zhabotinsky Reaction,True,ok,Buckling,False,False,wrong,B,Belousov-Zhabotinsky Reaction,True,ok,Bacterial growth,False,False,wrong,B,Belousov-Zhabotinsky Reaction,True,ok,Bacterial Growth,False,False,wrong,B,Belousov-Zhabotinsky Reaction,True,ok,Convection,False,False,wrong,B,Belousov-Zhabotinsky Reaction,True,ok,扩散,False,False,too_generic,B,Belousov-Zhabotinsky Reaction,True,ok
vdcr_000010,earth_environmental_systems,earth_family_04,自然动态机制,Pahoehoe Lava Roping,Pahoehoe Lava Roping; 绳状熔岩形成,Which named dynamic concept is instantiated by the temporally evolving process in this video?,A,Pahoehoe Lava Roping,Pahoehoe Lava Roping,Aa Lava Front Advance,Slab Avalanche Release,Pyroclastic Density Current,动态,False,False,too_generic,B,Aa Lava Front Advance,False,ok,shedding,False,False,wrong,B,Aa Lava Front Advance,False,ok,giving birth,False,False,wrong,A,Pahoehoe Lava Roping,True,ok,Hippopotamus,False,False,wrong,A,Pahoehoe Lava Roping,True,ok,Erosion,False,False,wrong,A,Pahoehoe Lava Roping,True,ok,火山喷发,False,False,too_generic,B,Aa Lava Front Advance,False,ok
