search_term,initial_category,candidate_knowledge_point,default_start_sec,default_end_sec,why_dynamic,notes
falling object slow motion physics demo,physics_mechanics,Unsupported objects accelerate downward under gravity.,0,60,The video should visibly show the temporal process for: Unsupported objects accelerate downward under gravity.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
object dropped from height gravity demonstration,physics_mechanics,Unsupported objects accelerate downward under gravity.,0,60,The video should visibly show the temporal process for: Unsupported objects accelerate downward under gravity.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
apple falling gravity video,physics_mechanics,Unsupported objects accelerate downward under gravity.,0,60,The video should visibly show the temporal process for: Unsupported objects accelerate downward under gravity.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
friction slows sliding block demonstration,physics_mechanics,Objects sliding on rough surfaces slow down due to friction.,0,60,The video should visibly show the temporal process for: Objects sliding on rough surfaces slow down due to friction.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
block sliding on rough surface friction video,physics_mechanics,Objects sliding on rough surfaces slow down due to friction.,0,60,The video should visibly show the temporal process for: Objects sliding on rough surfaces slow down due to friction.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
friction experiment sliding object,physics_mechanics,Objects sliding on rough surfaces slow down due to friction.,0,60,The video should visibly show the temporal process for: Objects sliding on rough surfaces slow down due to friction.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
cart collision momentum transfer demo,physics_mechanics,Collisions transfer momentum between objects.,0,60,The video should visibly show the temporal process for: Collisions transfer momentum between objects.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
billiard balls momentum transfer video,physics_mechanics,Collisions transfer momentum between objects.,0,60,The video should visibly show the temporal process for: Collisions transfer momentum between objects.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
collision physics demonstration carts,physics_mechanics,Collisions transfer momentum between objects.,0,60,The video should visibly show the temporal process for: Collisions transfer momentum between objects.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
inelastic collision carts stick together demo,physics_mechanics,Non-elastic collisions dissipate kinetic energy.,0,60,The video should visibly show the temporal process for: Non-elastic collisions dissipate kinetic energy.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
clay ball collision inelastic video,physics_mechanics,Non-elastic collisions dissipate kinetic energy.,0,60,The video should visibly show the temporal process for: Non-elastic collisions dissipate kinetic energy.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
inelastic collision physics demonstration,physics_mechanics,Non-elastic collisions dissipate kinetic energy.,0,60,The video should visibly show the temporal process for: Non-elastic collisions dissipate kinetic energy.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
pendulum energy transfer demonstration video,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,0,60,The video should visibly show the temporal process for: A pendulum exchanges gravitational potential energy and kinetic energy.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
pendulum swing potential kinetic energy,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,0,60,The video should visibly show the temporal process for: A pendulum exchanges gravitational potential energy and kinetic energy.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
simple pendulum physics demo,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,0,60,The video should visibly show the temporal process for: A pendulum exchanges gravitational potential energy and kinetic energy.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
floating sinking density buoyancy demo video,physics_mechanics,Buoyancy depends on displaced fluid and object density.,0,60,The video should visibly show the temporal process for: Buoyancy depends on displaced fluid and object density.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
buoyancy experiment object sinks floats,physics_mechanics,Buoyancy depends on displaced fluid and object density.,0,60,The video should visibly show the temporal process for: Buoyancy depends on displaced fluid and object density.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
density buoyancy demonstration,physics_mechanics,Buoyancy depends on displaced fluid and object density.,0,60,The video should visibly show the temporal process for: Buoyancy depends on displaced fluid and object density.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
air resistance falling paper coin demo,physics_mechanics,Air resistance slows moving objects.,0,60,The video should visibly show the temporal process for: Air resistance slows moving objects.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
parachute air resistance demonstration,physics_mechanics,Air resistance slows moving objects.,0,60,The video should visibly show the temporal process for: Air resistance slows moving objects.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
feather hammer air resistance video,physics_mechanics,Air resistance slows moving objects.,0,60,The video should visibly show the temporal process for: Air resistance slows moving objects.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
inclined plane rolling ball acceleration demo,physics_mechanics,An object on an inclined plane accelerates along the slope.,0,60,The video should visibly show the temporal process for: An object on an inclined plane accelerates along the slope.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
cart on ramp physics video,physics_mechanics,An object on an inclined plane accelerates along the slope.,0,60,The video should visibly show the temporal process for: An object on an inclined plane accelerates along the slope.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
object sliding down inclined plane,physics_mechanics,An object on an inclined plane accelerates along the slope.,0,60,The video should visibly show the temporal process for: An object on an inclined plane accelerates along the slope.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
elastic deformation restoration demo video,physics_mechanics,Elastic materials restore shape after deformation.,0,60,The video should visibly show the temporal process for: Elastic materials restore shape after deformation.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
spring returns to shape physics demo,physics_mechanics,Elastic materials restore shape after deformation.,0,60,The video should visibly show the temporal process for: Elastic materials restore shape after deformation.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
rubber band elastic force demonstration,physics_mechanics,Elastic materials restore shape after deformation.,0,60,The video should visibly show the temporal process for: Elastic materials restore shape after deformation.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
gyroscope angular momentum demonstration video,physics_mechanics,A spinning object can maintain angular momentum.,0,60,The video should visibly show the temporal process for: A spinning object can maintain angular momentum.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
spinning wheel angular momentum demo,physics_mechanics,A spinning object can maintain angular momentum.,0,60,The video should visibly show the temporal process for: A spinning object can maintain angular momentum.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
spinning top angular momentum video,physics_mechanics,A spinning object can maintain angular momentum.,0,60,The video should visibly show the temporal process for: A spinning object can maintain angular momentum.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
ice melting time lapse video,chemistry_material_change,A solid can absorb heat and melt into a liquid.,0,60,The video should visibly show the temporal process for: A solid can absorb heat and melt into a liquid.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
solid melting into liquid demonstration,chemistry_material_change,A solid can absorb heat and melt into a liquid.,0,60,The video should visibly show the temporal process for: A solid can absorb heat and melt into a liquid.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
wax melting heat demonstration,chemistry_material_change,A solid can absorb heat and melt into a liquid.,0,60,The video should visibly show the temporal process for: A solid can absorb heat and melt into a liquid.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
water evaporating time lapse video,chemistry_material_change,A liquid can evaporate when heated or exposed to airflow.,0,60,The video should visibly show the temporal process for: A liquid can evaporate when heated or exposed to airflow.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
evaporation demonstration video,chemistry_material_change,A liquid can evaporate when heated or exposed to airflow.,0,60,The video should visibly show the temporal process for: A liquid can evaporate when heated or exposed to airflow.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
liquid evaporates heat airflow demo,chemistry_material_change,A liquid can evaporate when heated or exposed to airflow.,0,60,The video should visibly show the temporal process for: A liquid can evaporate when heated or exposed to airflow.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
food coloring diffusion in water video,chemistry_material_change,Dissolved substances diffuse from high to low concentration.,0,60,The video should visibly show the temporal process for: Dissolved substances diffuse from high to low concentration.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
dye diffusion water demonstration,chemistry_material_change,Dissolved substances diffuse from high to low concentration.,0,60,The video should visibly show the temporal process for: Dissolved substances diffuse from high to low concentration.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
colored liquid diffusion time lapse,chemistry_material_change,Dissolved substances diffuse from high to low concentration.,0,60,The video should visibly show the temporal process for: Dissolved substances diffuse from high to low concentration.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
baking soda vinegar gas bubbles video,chemistry_material_change,Some mixtures produce gas during chemical reactions.,0,60,The video should visibly show the temporal process for: Some mixtures produce gas during chemical reactions.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
chemical reaction gas production demo,chemistry_material_change,Some mixtures produce gas during chemical reactions.,0,60,The video should visibly show the temporal process for: Some mixtures produce gas during chemical reactions.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
effervescence reaction demonstration,chemistry_material_change,Some mixtures produce gas during chemical reactions.,0,60,The video should visibly show the temporal process for: Some mixtures produce gas during chemical reactions.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
chemical color change reaction video,chemistry_material_change,Some chemical reactions produce color change.,0,60,The video should visibly show the temporal process for: Some chemical reactions produce color change.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
indicator color change experiment video,chemistry_material_change,Some chemical reactions produce color change.,0,60,The video should visibly show the temporal process for: Some chemical reactions produce color change.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
iodine clock reaction video,chemistry_material_change,Some chemical reactions produce color change.,0,60,The video should visibly show the temporal process for: Some chemical reactions produce color change.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
precipitation reaction video,chemistry_material_change,Some reactions form a precipitate.,0,60,The video should visibly show the temporal process for: Some reactions form a precipitate.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
solid precipitate forming chemistry demo,chemistry_material_change,Some reactions form a precipitate.,0,60,The video should visibly show the temporal process for: Some reactions form a precipitate.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
two clear liquids form precipitate,chemistry_material_change,Some reactions form a precipitate.,0,60,The video should visibly show the temporal process for: Some reactions form a precipitate.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
bimetal strip heating bends video,chemistry_material_change,Materials can expand unevenly when heated.,0,60,The video should visibly show the temporal process for: Materials can expand unevenly when heated.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
thermal expansion bimetal demonstration,chemistry_material_change,Materials can expand unevenly when heated.,0,60,The video should visibly show the temporal process for: Materials can expand unevenly when heated.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
metal strip bends when heated,chemistry_material_change,Materials can expand unevenly when heated.,0,60,The video should visibly show the temporal process for: Materials can expand unevenly when heated.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
candle oxygen jar extinguish video,chemistry_material_change,Combustion requires fuel and oxygen.,0,60,The video should visibly show the temporal process for: Combustion requires fuel and oxygen.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
combustion oxygen demonstration,chemistry_material_change,Combustion requires fuel and oxygen.,0,60,The video should visibly show the temporal process for: Combustion requires fuel and oxygen.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
flame goes out without oxygen demo,chemistry_material_change,Combustion requires fuel and oxygen.,0,60,The video should visibly show the temporal process for: Combustion requires fuel and oxygen.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
water freezing time lapse video,chemistry_material_change,Cooling can cause liquid to solidify.,0,60,The video should visibly show the temporal process for: Cooling can cause liquid to solidify.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
liquid solidifies cooling demonstration,chemistry_material_change,Cooling can cause liquid to solidify.,0,60,The video should visibly show the temporal process for: Cooling can cause liquid to solidify.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
