candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,collector_notes
candidate_000001,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,wikimedia_commons,CC0 listed on file page verify before final use,5.9,0.0,5.9,physics_mechanics,Collisions transfer momentum between objects.,Billiard balls change motion after contact and momentum transfer is visible across time.,Strong seed for collision hard negatives.
candidate_000002,https://commons.wikimedia.org/wiki/File:Torsion-pendulum.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,13.0,0.0,13.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Oscillatory motion requires seeing repeated position changes over time.,Check whether torsion pendulum wording should be separate from simple pendulum.
candidate_000003,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,wikimedia_commons,CC BY-SA 4.0 listed on file page verify before final use,17.0,0.0,17.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,The mass moves through coupled oscillations that cannot be inferred from a single frame.,May be more about coupled oscillation than basic pendulum energy.
candidate_000004,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,38.0,0.0,12.0,physics_mechanics,Unsupported objects accelerate downward under gravity.,A water drop falls and impacts liquid over time rather than being statically suspended.,Also shows surface tension so final label needs review.
candidate_000005,https://commons.wikimedia.org/wiki/File:Video_of_RP_FLIP_transitioning_to_vertical_(120630-N-PO203-001).webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,78.0,0.0,60.0,physics_mechanics,Buoyancy depends on displaced fluid and object density.,The platform orientation changes as ballast changes buoyancy and center of mass over time.,Longer than target but candidate segment may work.
candidate_000006,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,33.0,0.0,33.0,chemistry_material_change,Materials can expand unevenly when heated.,The coil bends in response to heating and this deformation is only visible as a process.,High-value seed for thermal expansion difference.
candidate_000007,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,wikimedia_commons,CC BY-SA 3.0 listed on file page verify before final use,6.0,0.0,6.0,chemistry_material_change,Some chemical reactions produce color change.,The liquid changes color over time after reactants are combined.,Caption may leak exact reaction but visual still useful.
candidate_000008,https://commons.wikimedia.org/wiki/File:Iodine_Clock_Reaction.ogv,wikimedia_commons,CC BY 3.0 listed on file page verify before final use,126.0,0.0,45.0,chemistry_material_change,Some chemical reactions produce color change.,Delayed color change appears after mixing and requires temporal observation.,Needs trimming and subtitle check.
candidate_000009,https://commons.wikimedia.org/wiki/File:103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,wikimedia_commons,CC BY-SA 4.0 listed on file page verify before final use,12.0,0.0,12.0,chemistry_material_change,Combustion requires fuel and oxygen.,Iron wool ignites and burns after being placed in oxygen over time.,May require option wording about oxidation rather than generic combustion.
candidate_000010,https://commons.wikimedia.org/wiki/File:Melting_Ice_time_lapse.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,8.7,0.0,8.7,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Ice changes shape and liquid appears progressively over time.,Need verify exact file page and license.
candidate_000011,https://commons.wikimedia.org/wiki/File:Ice_cubes_melting_in_a_glass.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,18.0,0.0,18.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Solid ice visibly decreases and liquid water increases over time.,Need verify if single frame still too informative.
candidate_000012,https://commons.wikimedia.org/wiki/File:Melting_ice.theora.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,29.0,0.0,29.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,The phase change direction is visible only from the sequence.,Need verify page exists and license.
candidate_000013,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,wikimedia_commons,YouTube CC license listed on file page verify before final use,18.0,0.0,18.0,biology_life_processes,Plant shoots can grow toward a light source.,Tomato plant direction changes over the time lapse in response to light.,Strong seed for biology category.
candidate_000014,https://commons.wikimedia.org/wiki/File:Azuki_Bean_phototropism.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,34.0,0.0,34.0,biology_life_processes,Plant shoots can grow toward a light source.,The shoot bends directionally over time rather than appearing only curved in one frame.,Need verify page and license.
candidate_000015,https://commons.wikimedia.org/wiki/File:Oxalis_Triangularis_Photonasty_Timelapse.ogv,wikimedia_commons,CC BY-SA 3.0 and GFDL listed on file page verify before final use,5.7,0.0,5.7,biology_life_processes,Some organisms move toward or away from light.,Leaves open or close over a time lapse in response to light level change.,Actually photonasty not phototropism so taxonomy may need a plant movement subtype.
candidate_000016,https://commons.wikimedia.org/wiki/File:Sabzeh_sprouting_seeds_timelapse.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,112.0,0.0,60.0,biology_life_processes,Seed germination involves root and shoot emergence.,Roots and shoots emerge progressively over multiple frames.,Longer than target but can be clipped.
candidate_000017,https://commons.wikimedia.org/wiki/File:Spring_is_creeping_in.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,112.0,0.0,60.0,biology_life_processes,Seed germination involves root and shoot emergence.,Sprouting plants change visibly over time in a time lapse.,May duplicate sabzeh source and needs review.
candidate_000018,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,9.4,0.0,9.4,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,A liquid filament changes into droplets due to surface tension over time.,Good dynamic candidate after adding capillary breakup wording to taxonomy.
candidate_000019,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,wikimedia_commons,YouTube CC license listed on file page verify before final use,17.0,0.0,17.0,everyday_causal_mechanisms,Pressure differences can move fluids.,Water rises after the candle is covered showing fluid motion driven by pressure change.,Risk of title leakage in metadata but task input can hide title.
candidate_000020,https://commons.wikimedia.org/wiki/File:Kerzenflamme_im_plattenkondensator.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,35.0,0.0,35.0,everyday_causal_mechanisms,Pressure differences can move fluids.,The candle flame deforms dynamically when the electric field changes.,Actually plasma in electric field not in current taxonomy; use for possible extension only.
candidate_000021,https://commons.wikimedia.org/wiki/File:Iron_powder_on_magnetic_stirrer_01_ies.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,120.0,0.0,30.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Iron powder movement changes under magnetic influence over time.,Needs trim and page verification.
candidate_000022,https://commons.wikimedia.org/wiki/File:STEMonstrations-_Surface_Tension.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,164.0,0.0,60.0,everyday_causal_mechanisms,Surface tension can support small objects or droplets.,The video contains demonstrations where water surface behavior changes over time.,Likely narration heavy; needs subtitle-only rejection check.
candidate_000023,https://commons.wikimedia.org/wiki/File:Corona.Candle.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,21.0,0.0,21.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,The flame motion responds to airflow from singing over time.,Weak mapping; likely reject unless taxonomy adds airflow visualization.
candidate_000024,https://commons.wikimedia.org/wiki/File:Vacuum_pump_filter_pour_sample_and_turn_on.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,55.0,0.0,55.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,The sample is poured and fluid passes through a filter while retained material remains.,Good procedural candidate if process is visible.
candidate_000025,https://commons.wikimedia.org/wiki/File:STEMonstrations-_Water_Filtration.webm,wikimedia_commons,NASA public domain listed on file page verify before final use,191.0,0.0,60.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,The clip discusses and shows filtration processes over time.,Likely narration leak; keep only if visual segment works without transcript.
candidate_000026,https://commons.wikimedia.org/wiki/File:Filtration_Video_at_Leadville_NFH_(4857132923).webm,wikimedia_commons,CC BY 2.0 and USFWS public domain note listed verify before final use,39.0,0.0,39.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Water filtration is shown as a process rather than static equipment.,May be system explanation not lab demonstration.
candidate_000027,https://commons.wikimedia.org/wiki/File:Backwashing_demo_at_a_water_filtration_plant.webm,wikimedia_commons,CC BY-SA 4.0 listed on file page verify before final use,45.0,0.0,45.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Backwashing shows particles and water moving through filter media over time.,Candidate for filtration or fluidized-bed behavior.
candidate_000028,https://commons.wikimedia.org/wiki/File:Candle_and_Match.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,25.0,0.0,25.0,chemistry_material_change,Combustion requires fuel and oxygen.,The match ignites the candle and the flame persists over time.,Single-frame may suffice for combustion so likely hard filter.
candidate_000029,https://commons.wikimedia.org/wiki/File:Torsion_spring_animation.ogv,wikimedia_commons,wikimedia_commons_license_verify_on_page,4.2,0.0,4.2,physics_mechanics,Elastic materials restore shape after deformation.,The spring oscillates after deformation over repeated frames.,Slightly below target duration but useful as controlled animation candidate.
candidate_000030,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,wikimedia_commons,wikimedia_commons_license_verify_on_page,80.0,0.0,20.0,physics_mechanics,Collisions transfer momentum between objects.,Billiard balls repeatedly change velocity and direction after contacts over time.,Longer billiards candidate for selecting a clean collision segment.
