concept_id,domain,subdomain,capability_label,dynamic_concept,aliases,linked_principle_id,linked_principle,required_dynamic_signature,why_static_insufficient,search_queries,hard_negative_concepts,reject_conditions,priority
DCR_BIO_JET_001,biology_living_systems,animal_locomotion_and_biomechanics,DCR,jet propulsion swimming,jellyfish propulsion; squid jetting,BIO_LOC_001,Expelled fluid creates reaction thrust.,A bell or mantle contracts and the body moves opposite the expelled fluid.,A still frame cannot connect contraction pulses with displacement.,jellyfish jet propulsion video|squid jet propulsion slow motion|bell contraction swimming video,flapping lift; undulation; crawling,Reject swimming clips without visible contraction-pulse displacement.,core
DCR_BIO_MITOSIS_001,biology_living_systems,germination_and_development,DCR,mitosis,cell division mitosis; chromosome segregation,BIO_CELL_001,Spindle dynamics align and separate chromosomes.,"Chromosomes align, separate, and move to opposite poles.",A still frame may show a phase but not the ordered sequence.,mitosis chromosome segregation time lapse|cell division mitosis microscopy video|mitosis time lapse chromosomes,cytokinesis only; cell migration; apoptosis,Reject static diagrams or clips without chromosome movement.,core
DCR_BIO_DISPLAY_001,biology_living_systems,organism_behavior_and_taxis,DCR,courtship display,mating display; courtship dance; lek display,BIO_TAX_004,Behavioral displays use repeated movement patterns to signal mate choice.,The animal performs a repeated display sequence toward a potential mate or rival.,"A still frame cannot capture the diagnostic sequence, rhythm, or interaction target.",bird courtship display dance video|courtship display animal behavior video|mating dance display video,foraging; locomotion; aggression display,Reject generic walking or flight without display context and sequence.,core
DCR_BIO_MIMIC_001,biology_living_systems,organism_behavior_and_taxis,DCR,dynamic mimicry,motion mimicry; behavioral mimicry,BIO_TAX_004,Motion pattern imitates another organism or environmental cue.,The organism changes motion or posture to resemble another dynamic target.,A still frame cannot establish imitation through motion pattern.,dynamic mimicry animal video|motion mimicry behavior video|mimic octopus dynamic mimicry video,camouflage stillness; courtship display; simple escape,Reject purely static camouflage.,core
DCR_BIO_GRAVI_001,biology_living_systems,plant_growth_and_tropisms,DCR,gravitropism,geotropism; root gravitropism; shoot gravitropism,BIO_TRO_002,Growth direction changes relative to gravity after reorientation.,Roots or shoots curve after the plant is rotated.,A still frame cannot prove reorientation-triggered growth curvature.,root gravitropism time lapse|plant gravitropism reorientation video|geotropism time lapse,phototropism; hydrotropism; simple elongation,Reject clips without a rotation/reorientation event.,core
DCR_BIO_PHOTO_001,biology_living_systems,plant_growth_and_tropisms,DCR,phototropism,shoot phototropism; plant bends toward light,BIO_TRO_001,Directional light drives differential growth and shoot bending.,A shoot bends progressively toward a light source over time.,A still frame cannot establish the direction and temporal bending response.,phototropism time lapse plant bending light|seedling phototropism video|plant grows toward light time lapse,gravitropism; nastic folding; ordinary growth,Reject clips without visible directional light or bending progression.,core
DCR_BIO_PLASM_001,biology_living_systems,plant_water_relations_and_turgor,DCR,plasmolysis and deplasmolysis,plasmolysis; deplasmolysis; plant cell osmotic shrinkage,BIO_TRA_001,Osmosis changes plant-cell volume under changing external concentration.,The protoplast shrinks away from the cell wall and may recover in water.,A still frame cannot distinguish shrinkage sequence or recovery.,plasmolysis deplasmolysis time lapse microscopy|plant cell plasmolysis video|onion cell plasmolysis time lapse,cytoplasmic streaming; cell division; diffusion dye,Reject single final plasmolyzed images or label-only clips.,core
DCR_BIO_STREAM_001,biology_living_systems,plant_water_relations_and_turgor,DCR,cytoplasmic streaming,cyclosis; chloroplast streaming,BIO_TRA_003,Cytoskeletal transport moves organelles through cytoplasm.,Chloroplasts or organelles circulate along cell edges or tracks.,A still frame cannot reveal intracellular circulation.,cytoplasmic streaming chloroplast video|cyclosis elodea microscopy video|chloroplast streaming time lapse,Brownian motion; cell division; camera drift,Reject clips where organelle motion is not visible.,core
DCR_CHEM_DIFF_001,chemistry_materials_change,diffusion_mixing_and_transport,DCR,Taylor-Couette laminar mixing,reversible laminar mixing; viscous folding,CHM_DIF_002,Laminar shear stretches and folds interfaces without turbulence.,Colored bands elongate into layers and may reverse when shear is reversed.,A still frame cannot distinguish reversible laminar deformation from arbitrary color bands.,Taylor Couette mixing dye video|reversible laminar mixing video|viscous laminar mixing folding video,turbulent mixing; diffusion only; precipitation,Reject simple shaking or turbulent mixing clips.,core
DCR_CHEM_THICK_001,chemistry_materials_change,material_deformation_and_response,DCR,shear thickening,non-Newtonian fluid impact; oobleck solid-like impact,CHM_MAT_001,A suspension resists rapid stress while flowing under slow stress.,The same material flows slowly but resists or fractures under rapid impact.,A still frame cannot distinguish rate-dependent response from high viscosity.,shear thickening oobleck slow motion|non Newtonian fluid impact video|cornstarch water impact slow motion,high viscosity liquid; gel; plastic clay,Reject clips showing only slow pouring or only a static impact aftermath.,core
